G1;G2;G3;;;
Белгородская область;188 305 220 422,85;23 336 696 024,00;;;
Брянская область;99 652 085 738,31;12 350 717 594,00;;;
Владимирская область;151 878 356 296,30;19 109 512 885,00;;;
Воронежская область;254 281 945 831,21;30 848 602 957,00;;;
Ивановская область;75 897 665 593,53;9 339 148 856,00;;;
Калужская область;146 447 281 748,34;18 436 231 845,00;;;
Костромская область;66 429 849 000,57;8 013 072 451,00;;;
Курская область;111 452 042 810,06;13 953 426 094,00;;;
Липецкая область;130 552 678 063,58;15 512 215 332,00;;;
Московская область;1 424 257 472 725,89;182 307 901 602,00;;;
Орловская область;71 822 398 868,16;8 973 044 500,00;;;
Рязанская область;124 840 554 345,63;15 640 922 753,00;;;
Смоленская область;100 566 437 385,69;12 628 579 829,00;;;
Тамбовская область;84 009 775 980,94;10 474 049 414,00;;;
Тверская область;143 101 023 830,51;17 940 945 476,00;;;
Тульская область;177 229 295 582,76;22 289 182 663,00;;;
Ярославская область;172 160 562 765,43;20 926 231 215,00;;;
город Москва;9 708 279 335 397,25;702 229 590 760,00;;;
Республика Карелия;85 862 067 493,15;10 761 695 858,00;;;
Республика Коми;186 863 275 477,26;23 639 880 967,00;;;
Архангельская область;195 180 020 731,95;24 429 554 292,00;;;
Вологодская область;165 689 042 054,70;19 577 112 499,00;;;
Калининградская область;130 114 328 409,67;15 857 390 286,00;;;
Ленинградская область;271 910 334 084,89;34 521 574 019,00;;;
Мурманская область;217 272 222 593,37;27 877 873 751,00;;;
Новгородская область;77 071 449 348,72;9 601 505 799,00;;;
Псковская область;64 097 676 506,64;7 978 482 250,00;;;
город Санкт-Петербург;1 694 542 075 470,31;196 509 709 369,00;;;
Ненецкий АО;31 500 865 075,78;4 046 735 123,00;;;
Республика Дагестан;76 191 654 567,57;8 788 127 027,00;;;
Республика Ингушетия;12 708 941 394,57;1 398 401 861,00;;;
Кабардино-Балкарская Республика;36 398 216 699,37;4 444 786 749,00;;;
Карачаево-Черкесская Республика;24 028 888 756,02;2 936 544 070,00;;;
Республика Северная Осетия-Алания;36 246 756 048,98;4 478 230 466,00;;;
Чеченская Республика;37 930 275 995,04;4 445 184 344,00;;;
Ставропольский край;212 651 577 991,94;25 981 385 933,00;;;
Республика Адыгея;29 972 017 238,10;3 684 561 296,00;;;
Республика Калмыкия;14 822 748 911,47;1 781 705 917,00;;;
Республика Крым;143 006 657 115,07;18 055 687 780,00;;;
Краснодарский край;597 945 824 150,82;73 379 565 378,00;;;
Астраханская область;105 093 402 233,60;11 906 350 055,00;;;
Волгоградская область;260 825 504 009,70;30 916 769 476,00;;;
Ростовская область;444 960 902 613,29;54 525 284 432,00;;;
город Севастополь;44 515 907 690,47;5 664 845 460,00;;;
Республика Башкортостан;427 212 826 001,37;50 084 624 871,00;;;
Республика Марий-Эл;61 629 656 077,62;7 585 706 397,00;;;
Республика Мордовия;71 099 015 422,74;8 800 135 600,00;;;
Республика Татарстан;565 947 522 095,15;67 779 363 731,00;;;
Удмуртская Республика;184 609 395 121,29;22 279 006 867,00;;;
Чувашская Республика;106 910 259 799,43;12 339 854 809,00;;;
Кировская область;127 888 258 913,04;15 718 050 174,00;;;
Нижегородская область;464 368 897 603,68;56 737 525 831,00;;;
Оренбургская область;204 290 072 350,88;25 013 510 953,00;;;
Пензенская область;114 218 968 432,89;13 697 488 126,00;;;
Пермский край;367 547 784 780,96;43 154 539 340,00;;;
Самарская область;457 347 982 899,98;54 940 913 118,00;;;
Саратовская область;235 199 056 210,90;28 800 785 526,00;;;
Ульяновская область;118 062 862 302,38;14 781 519 330,00;;;
Курганская область;70 942 722 456,51;8 768 494 444,00;;;
Свердловская область;724 801 375 142,48;87 845 708 919,00;;;
Тюменская область;252 879 252 304,06;30 201 787 687,00;;;
Челябинская область;470 730 985 020,33;56 854 040 623,00;;;
Ханты-Мансийский АО - Югра;665 470 314 564,99;83 132 600 141,00;;;
Ямало-Hенецкий АО;379 221 268 934,68;48 687 088 162,00;;;
Республика Алтай;16 616 769 174,76;1 999 076 126,00;;;
Республика Бурятия;98 547 500 463,41;12 315 616 839,00;;;
Республика Тыва;22 783 391 455,54;2 762 042 886,00;;;
Республика Хакасия;59 699 858 763,67;7 424 774 460,00;;;
Алтайский край;187 369 251 387,44;22 805 328 153,00;;;
Красноярский край;514 843 381 341,88;64 120 558 752,00;;;
Иркутская область;371 205 701 895,39;45 860 246 888,00;;;
Кемеровская область;339 547 976 248,59;41 842 326 604,00;;;
Новосибирская область;415 722 631 420,47;49 405 455 383,00;;;
Омская область;203 780 729 083,74;24 368 069 506,00;;;
Томская область;163 460 783 908,08;20 203 936 805,00;;;
Забайкальский край;129 473 332 379,93;16 334 610 280,00;;;
Республика Саха (Якутия);270 715 771 720,61;34 418 441 823,00;;;
Приморский край;308 935 738 744,48;39 472 636 695,00;;;
Хабаровский край;265 267 852 842,38;33 891 589 730,00;;;
Амурская область;123 671 238 276,49;15 571 334 295,00;;;
Камчатский край;119 807 529 582,94;15 449 074 948,00;;;
Магаданская область;62 527 792 712,07;7 970 026 103,00;;;
Сахалинская область;182 553 407 650,14;23 512 714 737,00;;;
Еврейская автономная область;20 003 030 572,57;2 552 984 038,00;;;
Чукотский АО;33 456 432 401,90;4 319 652 794,00;;;
