GA;GB;G1;;;
Белгородская область;225 547 373 698,00;28 423 900 395,00;;;
Брянская область;124 902 138 328,00;15 649 886 290,00;;;
Владимирская область;184 105 370 424,00;23 155 759 646,00;;;
Воронежская область;341 842 930 171,00;40 534 607 438,00;;;
Ивановская область;89 607 440 388,00;11 178 085 012,00;;;
Калужская область;191 626 491 808,00;24 037 578 092,00;;;
Костромская область;78 609 810 822,00;9 779 158 341,00;;;
Курская область;141 345 997 676,00;17 863 523 975,00;;;
Липецкая область;170 290 284 840,00;20 754 672 946,00;;;
Московская область;1 916 026 441 014,00;245 345 559 083,00;;;
Орловская область;84 726 555 198,00;10 571 976 855,00;;;
Рязанская область;156 835 491 527,00;19 758 997 186,00;;;
Смоленская область;120 302 809 197,00;15 265 190 285,00;;;
Тамбовская область;98 838 404 454,00;12 403 082 707,00;;;
Тверская область;172 441 101 830,00;21 751 620 567,00;;;
Тульская область;224 196 866 054,00;28 406 939 041,00;;;
Ярославская область;218 395 067 712,00;26 462 821 987,00;;;
город Москва;13 220 938 872 312,00;985 262 795 650,00;;;
Республика Карелия;106 619 350 998,00;13 474 512 622,00;;;
Республика Коми;207 240 211 648,00;26 351 015 282,00;;;
Архангельская область;262 677 471 430,00;33 296 496 787,00;;;
Вологодская область;203 627 223 965,00;25 067 993 589,00;;;
Калининградская область;165 652 696 441,00;19 945 844 359,00;;;
Ленинградская область;357 747 371 201,00;45 491 724 126,00;;;
Мурманская область;233 700 710 089,00;30 063 536 192,00;;;
Новгородская область;86 150 948 746,00;10 801 914 542,00;;;
Псковская область;72 108 370 487,00;9 039 113 271,00;;;
город Санкт-Петербург;3 640 731 708 725,00;276 791 188 455,00;;;
Ненецкий АО;0,00;0,00;;;
Республика Дагестан;96 879 061 685,00;11 341 020 284,00;;;
Республика Ингушетия;15 954 168 842,00;1 762 536 926,00;;;
Кабардино-Балкарская Республика;42 035 933 624,00;5 160 193 780,00;;;
Карачаево-Черкесская Республика;25 316 191 267,00;3 105 692 547,00;;;
Республика Северная Осетия-Алания;37 927 293 145,00;4 720 025 952,00;;;
Чеченская Республика;52 873 609 272,00;6 074 635 497,00;;;
Ставропольский край;255 925 575 331,00;31 028 616 830,00;;;
Республика Адыгея;38 608 371 581,00;4 747 224 094,00;;;
Республика Калмыкия;19 171 577 111,00;2 358 715 056,00;;;
Республика Крым;205 574 529 077,00;26 112 992 295,00;;;
Краснодарский край;732 913 162 919,00;90 581 564 105,00;;;
Астраханская область;124 755 393 202,00;14 093 580 108,00;;;
Волгоградская область;283 306 318 730,00;34 306 405 144,00;;;
Ростовская область;522 953 167 246,00;64 414 483 260,00;;;
город Севастополь;60 801 535 073,00;7 757 963 983,00;;;
Республика Башкортостан;533 556 488 828,00;63 014 795 700,00;;;
Республика Марий-Эл;72 837 312 827,00;9 037 798 653,00;;;
Республика Мордовия;80 759 794 836,00;10 073 775 246,00;;;
Республика Татарстан;703 512 186 505,00;85 975 071 944,00;;;
Удмуртская Республика;256 421 273 305,00;27 694 087 508,00;;;
Чувашская Республика;146 366 133 366,00;15 619 638 959,00;;;
Кировская область;152 894 363 652,00;19 013 745 636,00;;;
Нижегородская область;586 293 121 791,00;72 766 836 282,00;;;
Оренбургская область;242 934 170 756,00;29 723 783 547,00;;;
Пензенская область;138 229 568 441,00;16 594 911 420,00;;;
Пермский край;432 305 710 582,00;51 947 601 149,00;;;
Самарская область;556 338 930 055,00;67 146 770 350,00;;;
Саратовская область;276 391 842 655,00;34 219 641 349,00;;;
Ульяновская область;142 756 216 238,00;17 566 501 765,00;;;
Курганская область;86 605 972 552,00;10 796 626 611,00;;;
Свердловская область;878 362 212 353,00;109 156 044 396,00;;;
Тюменская область;326 320 718 873,00;39 888 233 350,00;;;
Челябинская область;602 599 583 055,00;74 363 107 526,00;;;
Ханты-Мансийский АО - Югра;777 652 509 286,00;97 070 045 003,00;;;
Ямало-Hенецкий АО;442 482 242 395,00;56 904 998 129,00;;;
Республика Алтай;23 334 051 921,00;2 880 332 758,00;;;
Республика Тыва;33 912 930 560,00;4 174 929 503,00;;;
Республика Хакасия;69 013 588 672,00;8 640 359 546,00;;;
Алтайский край;237 178 412 849,00;29 263 646 804,00;;;
Красноярский край;643 113 519 957,00;79 645 382 024,00;;;
Иркутская область;465 304 380 452,00;58 061 166 359,00;;;
Кемеровская область - Кузбасс;482 562 522 944,00;59 725 577 158,00;;;
Новосибирская область;562 402 640 108,00;62 951 569 866,00;;;
Омская область;265 184 050 528,00;30 895 484 611,00;;;
Томская область;195 424 206 842,00;24 024 924 686,00;;;
Республика Бурятия;724 738 501 696,00;18 213 808 773,00;;;
Республика Саха (Якутия);348 362 181 484,00;44 748 474 807,00;;;
Приморский край;350 212 484 106,00;46 479 762 085,00;;;
Хабаровский край;300 037 268 920,00;38 305 076 321,00;;;
Амурская область;175 063 957 170,00;22 455 289 757,00;;;
Камчатский край;141 555 745 456,00;18 249 905 807,00;;;
Магаданская область;84 585 207 818,00;10 838 087 007,00;;;
Сахалинская область;248 639 818 427,00;32 638 445 558,00;;;
Забайкальский край;153 696 654 546,00;19 533 437 646,00;;;
Еврейская автономная область;22 900 257 886,00;2 934 587 716,00;;;
Чукотский АО;38 469 018 330,00;4 971 116 621,00;;;
;;;;;
