GA;GB;G1;;;;;
Белгородская область;317 606 980 751;48 270 306 954;;;;;
Брянская область;186 920 114 938;22 385 702 655;;;;;
Владимирская область;244 985 179 866;31 384 714 048;;;;;
Воронежская область;464 343 345 544;55 529 320 084;;;;;
Ивановская область;114 023 871 319;14 500 218 568;;;;;
Калужская область;236 421 714 781;29 931 930 853;;;;;
Костромская область;135 729 441 495;13 202 667 420;;;;;
Курская область;204 682 718 691;26 445 701 134;;;;;
Липецкая область;220 683 666 980;27 047 066 596;;;;;
Московская область;2 645 526 915 622;341 139 105 645;;;;;
Орловская область;111 932 012 857;14 315 445 421;;;;;
Рязанская область;204 647 666 430;26 152 049 211;;;;;
Смоленская область;152 227 625 530;19 649 684 519;;;;;
Тамбовская область;132 368 193 613;16 986 635 507;;;;;
Тверская область;218 287 371 793;28 060 994 290;;;;;
Тульская область;293 620 435 521;40 797 231 146;;;;;
Ярославская область;272 677 720 142;33 651 575 606;;;;;
город Москва;27 735 357 895 665;1 574 558 821 224;;;;;
Республика Карелия;136 901 231 840;17 687 113 457;;;;;
Республика Коми;239 013 476 512;30 770 153 020;;;;;
Архангельская область;276 259 651 625;35 423 557 604;;;;;
Вологодская область;265 920 899 072;33 622 772 577;;;;;
Калининградская область;468 958 646 394;29 788 551 441;;;;;
Ленинградская область;467 466 624 760;60 699 091 132;;;;;
Мурманская область;307 160 230 671;39 810 847 170;;;;;
Новгородская область;102 121 841 615;13 027 929 668;;;;;
Псковская область;88 739 866 747;11 255 108 986;;;;;
город Санкт-Петербург;5 135 886 024 569;393 448 309 700;;;;;
Ненецкий автономный округ;36 636 961 962;4 727 950 801;;;;;
Республика Дагестан;134 217 322 574;16 129 038 662;;;;;
Республика Ингушетия;35 858 950 120;4 647 400 753;;;;;
Кабардино-Балкарская Республика;51 738 506 242;6 455 157 069;;;;;
Карачаево-Черкесская Республика;33 627 465 689;4 158 924 808;;;;;
Республика Северная Осетия-Алания;49 022 566 280;6 137 055 808;;;;;
Чеченская Республика;73 247 751 367;8 617 134 052;;;;;
Ставропольский край;330 343 011 945;41 483 855 181;;;;;
Республика Адыгея;50 781 733 114;6 435 495 032;;;;;
Республика Калмыкия;24 787 078 316;3 088 142 655;;;;;
Республика Крым;253 712 705 747;32 504 571 066;;;;;
Краснодарский край;1 057 080 362 295;133 808 789 149;;;;;
Астраханская область;145 583 049 879;16 802 836 791;;;;;
Волгоградская область;358 479 346 822;44 696 224 587;;;;;
Ростовская область;732 370 732 149;90 174 495 811;;;;;
город Севастополь;85 518 970 491;11 012 740 040;;;;;
Республика Башкортостан;676 575 020 911;80 742 523 390;;;;;
Республика Марий-Эл;92 436 907 276;11 705 213 067;;;;;
Республика Мордовия;106 093 045 397;13 537 549 038;;;;;
Республика Татарстан;966 105 633 845;121 680 136 143;;;;;
Удмуртская Республика;278 101 387 861;34 585 133 900;;;;;
Чувашская Республика;193 967 182 342;21 227 884 459;;;;;
Кировская область;189 951 233 973;24 054 911 359;;;;;
Нижегородская область;776 206 876 320;97 835 368 766;;;;;
Оренбургская область;298 360 592 401;37 153 338 719;;;;;
Пензенская область;186 903 772 776;22 776 913 513;;;;;
Пермский край;559 906 866 407;68 520 885 628;;;;;
Самарская область;708 177 489 010;86 373 849 739;;;;;
Саратовская область;368 441 997 160;45 263 461 324;;;;;
Ульяновская область;184 801 622 773;23 234 679 107;;;;;
Курганская область;109 247 823 373;13 840 060 752;;;;;
Свердловская область;1 203 091 607 868;153 103 403 706;;;;;
Тюменская область;404 693 904 030;50 330 045 455;;;;;
Челябинская область;751 077 243 899;93 422 613 159;;;;;
Ханты-Мансийский автономный округ - Югра;925 358 009 795;118 007 128 771;;;;;
Ямало-Ненецкий автономный округ;635 969 492 411;83 238 450 418;;;;;
Республика Алтай;31 691 160 479;4 018 109 668;;;;;
Республика Тыва;44 221 088 476;5 666 863 997;;;;;
Республика Хакасия;91 238 372 135;11 630 375 744;;;;;
Алтайский край;306 894 610 787;38 295 509 190;;;;;
Красноярский край;890 616 725 250;113 428 512 334;;;;;
Иркутская область;636 623 749 442;80 575 156 316;;;;;
Кемеровская область - Кузбасс;602 731 891 951;75 965 185 314;;;;;
Новосибирская область;839 518 584 202;93 062 087 923;;;;;
Омская область;328 063 791 819;40 189 277 017;;;;;
Томская область;244 547 748 567;30 236 587 857;;;;;
Республика Бурятия;147 852 011 449;18 757 064 819;;;;;
Республика Саха (Якутия);442 109 620 876;57 233 656 479;;;;;
Приморский край;484 638 809 373;62 369 088 387;;;;;
Хабаровский край;378 284 550 166;52 511 667 613;;;;;
Амурская область;241 150 255 166;30 666 086 686;;;;;
Камчатский край;166 789 436 980;21 838 898 338;;;;;
Магаданская область;112 337 720 796;14 631 386 147;;;;;
Сахалинская область;249 081 428 465;32 587 707 880;;;;;
Забайкальский край;204 589 265 448;27 721 047 324;;;;;
Еврейская автономная область;28 781 956 091;3 683 660 621;;;;;
Чукотский автономный округ;56 455 337 739;7 314 964 970;;;;;
Донецкая Народная Республика;X;X;;;;;
Луганская Народная Республика;X;X;;;;;
Запорожская область;X;X;;;;;
Херсонская область;X;X;;;;;
