"GA","GB","G1"
"Белгородская область","457094013543","60192958279"
"Брянская область","234775051315","30407110903"
"Владимирская область","354466379933","45736027456"
"Воронежская область","669524956690","78676964672"
"Ивановская область","157838095916","20327708442"
"Калужская область","336811527545","42818368743"
"Костромская область","206169264905","20261850388"
"Курская область","282404754020","36703165929"
"Липецкая область","337773714321","42813527428"
"Московская область","4036754724532","512343133803"
"Орловская область","159837061930","20714018700"
"Рязанская область","294254368842","38171284507"
"Смоленская область","231422537005","30268117156"
"Тамбовская область","183395882146","23749654344"
"Тверская область","315330729491","40704433680"
"Тульская область","459570895414","59331756347"
"Ярославская область","381355748187","48372395452"
"г.Москва","43035271316743","2191512813987"
"Республика Карелия","176810081855","22850992356"
"Республика Коми","298883241555","38599925963"
"Архангельская область + Ненецкий АО","351884026537","45611552546"
"Вологодская область","414369306397","54045576574"
"Калининградская область","449590949210","48393707046"
"Ленинградская область","723117396739","94715422777"
"Мурманская область","379239910673","49404218872"
"Новгородская область","146152964540","18915250125"
"Псковская область","125349567003","16133622027"
"г.Санкт-Петербург","10015220513160","568850180882"
"Ненецкий автономный округ","48916199204","6346863024"
"Республика Дагестан","170825603826","21080989965"
"Республика Ингушетия","25409700974","3037576643"
"Кабардино-Балкарская Республика","68865907087","8721711673"
"Карачаево-Черкесская Республика","43808739682","5525481185"
"Республика Северная Осетия - Алания","65539129893","8324855076"
"Чеченская Республика","93587246408","11515961890"
"Ставропольский край","449193468774","57461860241"
"Республика Адыгея (Адыгея)","73384782726","9445812790"
"Республика Калмыкия","39799984739","5068646538"
"Краснодарский край","1512485100001","192765488195"
"Астраханская область","187594466242","22668728473"
"Волгоградская область","481119484808","61459342274"
"Ростовская область","1083347871322","133395672415"
"Республика Крым","338512620348","43806816363"
"г.Севастополь","99465335716","12925669236"
"Республика Башкортостан","989236749992","112734334688"
"Республика Марий Эл","142171875200","18376964900"
"Республика Мордовия","156446197937","20248432535"
"Республика Татарстан)","1580538151946","198792287712"
"Удмуртская Республика","425567572261","53658947684"
"Чувашская Республика","294643020681","32422191935"
"Кировская область","278392243513","35888220032"
"Нижегородская область","1138223182923","146797586808"
"Оренбургская область","409254417185","51963065418"
"Пензенская область","256716943789","32485489792"
"Пермский край","821439633766","101551594189"
"Самарская область","1014905643485","126014690084"
"Саратовская область","503859812855","63266166088"
"Ульяновская область","266679405185","33860173900"
"Курганская область","172278928007","22158880434"
"Свердловская область","4385849818526","223260668474"
"Тюменская область","578432799560","72453398689"
"Челябинская область","1101664571742","139462808870"
"Ханты-Мансийский автономный округ - Югра","1235454851464","158638633647"
"Ямало-Ненецкий автономный округ","820733594156","107355063543"
"Республика Алтай","49680776639","6059213031"
"Республика Тыва","58649403448","7603240097"
"Республика Хакасия","120448021988","15504524909"
"Алтайский край","435770668278","55047288446"
"Красноярский край","1209190658251","154733901063"
"Иркутская область","980400536486","121631013047"
"Кемеровская область","837321864305","107516740535"
"Новосибирская область","1232227685269","131216633221"
"Омская область","459135976380","56949477077"
"Томская область","343801933534","43535691762"
"Республика Бурятия","205783435819","26398173729"
"Республика Саха (Якутия)","614321834389","79940122603"
"Приморский край","740097193321","95624313688"
"Хабаровский край","534297366302","69298214373"
"Амурская область","346697181440","46362732072"
"Камчатский край","210133753789","27468952108"
"Магаданская область","145430476614","18996121658"
"Сахалинская область","330609765508","43446037849"
"Забайкальский край","302745050793","38854988941"
"Еврейская автономная область","40014836065","5146314267"
"Чукотский автономный округ","79269966847","10383334129"
"Донецкая Народная Республика","X","X"
"Луганская Народная Республика","X","X"
"Запорожская область","X","X"
"Херсонская область","X","X"
"nan","nan","nan"
"X - данные по юго-западным субъектам не размещаются (письмо ФНС России от 08.06.2023 № КВ-4-1/7280@)","nan","nan"
