Отрасль,Название,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_A_2025_v20260820_xlsx.zip
B,Добыча полезных ископаемых,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_B_2025_v20260820_xlsx.zip
C,Обрабатывающие производства,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_C_2025_v20260820_xlsx.zip
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_D_2025_v20260820_xlsx.zip
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_E_2025_v20260820_xlsx.zip
F,Строительство,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_F_2025_v20260820_xlsx.zip
G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_G_2025_v20260820_xlsx.zip
H,Транспортировка и хранение,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_H_2025_v20260820_xlsx.zip
I,Деятельность гостиниц и предприятий общественного питания,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_I_2025_v20260820_xlsx.zip
J,Деятельность в области информации и связи,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_J_2025_v20260820_xlsx.zip
