GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75
Белгородская область;5 648;0;0;287;0;56 949;50;6;9 636;5 574;1 689;1 022;843;135;144;200;120;4;33;14;8;3 764;722;2 039;8 756;725;3 436;4 592;8 397;29;37;42 242;26;6;1;1;1;12;0;2;5;9 482;15 035;12 125;15 898;39 084;3 060;4 440;3 856;8 121;562;1;3;23;20 262;14 210;4 041;40 094;5 867;44 865;107 001;26 904;31;139;327 521;45;146;1;35;23;603;0;10;868;0;0
Брянская область;3 647;134;0;336;0;33 225;100;10;4 546;3 642;790;445;495;85;70;82;71;1;133;17;14;1 965;311;1 560;6 327;480;1 443;2 500;4 425;98;24;24 751;63;5;0;0;0;0;27;5;0;2 910;6 940;4 628;6 851;20 263;2 214;2 013;1 518;4 807;228;1;1;15;8 797;4 462;1 854;14 332;2 998;14 045;39 734;9 489;80;102;129 138;71;40;0;0;0;0;14;7;0;4 273;0
Владимирская область;4 199;125;0;243;0;34 574;129;18;3 582;4 643;1 109;655;452;74;77;85;61;2;155;7;7;1 847;572;1 707;7 415;643;1 395;2 203;5 419;185;89;26 265;61;7;0;0;0;1;43;0;18;5 208;14 784;6 532;9 858;20 047;2 029;1 635;1 407;3 901;41;1;0;11;8 271;10 607;3 321;33 820;5 102;16 812;44 097;11 211;163;359;178 395;201;258;0;0;0;55;140;0;4 518;10 069;0
Воронежская область;5 235;2 094;0;348;0;68 977;204;64;8 450;6 972;2 151;1 516;1 078;286;257;313;216;18;47;17;19;1 864;259;2 450;9 220;954;2 531;3 767;7 450;70;27;41 305;57;35;0;0;3;11;3;6;28;12 077;21 553;15 400;23 184;56 290;4 192;7 237;5 925;15 819;2 456;0;4;40;10 122;6 082;4 794;41 508;7 440;33 350;85 626;18 047;61;113;317 205;44;673;0;0;12;151;2;91;6 822;133 036;0
Ивановская область;2 688;219;0;93;0;19 980;105;0;2 346;2 292;665;424;296;40;59;95;60;3;4;5;5;1 249;43;874;3 690;376;802;973;2 893;78;30;14 271;53;26;0;0;3;12;4;0;0;1 746;4 937;3 447;5 108;11 330;652;1 331;1 276;2 839;562;0;1;6;6 623;450;1 384;9 355;1 538;7 227;14 155;5 632;56;87;67 383;59;573;0;0;22;525;46;0;0;2 796;0
Калужская область;3 393;670;1;249;0;33 370;39;8;3 005;3 839;1 200;613;528;111;53;68;75;7;55;14;5;1 395;291;1 676;6 705;481;1 278;1 712;4 857;89;29;22 778;16;2;0;0;0;1;3;4;8;1 872;8 975;7 901;9 009;25 043;1 684;1 433;1 859;5 637;949;1;1;8;5 138;5 129;1 478;13 743;1 755;8 413;23 053;6 452;59;90;111 902;18;27;0;0;0;108;44;11;330;13 257;0
Костромская область;2 380;118;0;124;0;19 852;127;18;2 527;2 312;504;237;234;32;32;24;35;2;37;5;11;1 281;149;804;3 421;480;1 161;745;4 028;187;62;13 928;74;17;0;0;5;5;20;6;11;2 593;7 447;3 249;3 144;9 920;717;799;567;2 337;235;3;0;15;4 357;2 108;1 576;15 407;3 269;13 760;15 645;9 509;94;94;82 402;52;322;0;0;54;197;36;139;12 991;5 739;0
Курская область;3 260;0;0;166;0;32 327;51;6;5 051;3 345;813;459;390;68;81;68;53;5;40;4;3;2 492;300;1 438;6 072;481;2 118;2 223;4 939;23;15;24 632;29;8;0;0;0;3;1;10;6;5 568;7 949;4 719;6 578;19 555;1 919;2 444;1 229;4 244;1 152;0;0;0;7 017;4 696;2 774;26 048;3 617;23 005;39 239;10 782;20;75;150 351;37;194;0;0;0;110;1;10;138;0;0
Липецкая область;3 654;58;0;173;0;35 556;133;6;5 302;4 070;1 115;609;527;64;57;82;75;4;35;4;6;2 263;578;1 699;5 785;562;2 160;2 539;5 608;98;45;27 356;110;9;0;0;4;1;3;5;6;6 173;12 098;7 800;8 971;25 798;1 691;1 731;1 708;6 355;798;0;1;13;10 035;10 299;2 794;20 972;3 430;23 328;48 502;12 910;93;180;180 749;140;93;0;0;39;33;1;40;656;2 343;0
Московская область;21 741;64;0;1 533;0;249 466;746;174;23 349;42 309;11 989;7 066;7 040;791;1 273;1 117;1 536;203;171;60;105;14 081;6 391;10 220;42 031;4 668;8 900;15 483;38 826;549;272;194 770;303;139;8;4;30;14;142;63;172;16 467;133 021;77 425;100 420;351 639;22 173;30 428;21 231;107 628;31 017;9;27;379;58 335;125 184;17 986;154 128;28 578;108 601;296 009;94 579;479;1 068;1 471 191;1 367;7 264;32;454;496;1 033;580;1 526;159 415;3 084;0
Орловская область;1 915;848;0;176;0;22 602;18;4;4 027;2 742;616;336;231;45;31;33;25;0;25;4;6;1 340;68;1 202;4 054;405;1 068;1 256;2 894;42;20;17 273;11;0;0;0;0;1;0;0;4;4 070;9 579;4 534;5 217;10 547;1 143;1 036;821;2 087;0;1;0;12;5 923;1 546;2 154;17 040;2 919;11 746;22 174;7 265;27;66;100 806;8;6;0;0;0;8;0;0;19;24 823;0
Рязанская область;3 262;861;2;254;0;34 772;165;86;3 645;3 309;987;636;496;59;76;113;90;8;46;7;5;1 351;138;1 353;6 142;710;1 608;1 957;5 217;124;40;22 318;93;24;0;0;1;3;18;19;86;2 705;7 043;6 380;9 706;25 100;1 950;2 373;2 118;6 584;809;1;0;15;4 465;1 902;2 489;22 378;4 364;18 935;43 471;14 980;107;164;144 077;251;825;0;0;19;215;82;91;5 687;30 323;0
Смоленская область;3 874;143;0;612;0;36 586;105;13;4 162;3 669;986;548;457;51;73;84;63;6;50;10;7;1 839;313;1 362;5 500;578;1 142;3 438;4 417;222;82;23 994;73;16;0;0;4;1;9;1;13;3 048;7 967;5 776;7 173;16 977;1 006;1 680;1 627;3 107;760;0;3;6;6 914;4 246;1 935;18 180;3 211;10 278;43 134;7 124;183;306;128 395;207;657;0;0;62;80;18;8;2 035;21 291;0
Тамбовская область;2 818;3;0;235;0;29 072;29;9;4 640;3 200;788;426;314;46;47;56;45;3;27;9;6;1 708;184;1 631;6 183;445;2 450;1 836;4 371;39;46;23 853;23;1;1;0;1;1;1;1;9;6 881;10 088;5 793;6 751;15 883;1 183;1 607;1 647;3 540;752;1;6;15;9 498;4 388;3 228;28 847;3 578;31 143;38 264;13 125;37;165;164 231;85;30;4;0;20;87;2;2;740;80;0
Тверская область;3 780;1 135;9;259;0;36 917;491;69;3 109;3 471;1 047;561;469;87;97;76;51;4;104;18;18;1 625;397;1 665;6 964;736;1 713;1 862;6 405;411;109;23 779;200;86;0;1;14;7;95;45;68;2 355;7 817;4 591;5 171;12 763;1 155;1 743;631;1 875;400;1;3;13;8 277;5 447;3 210;31 367;5 871;22 515;42 490;15 747;363;471;151 876;82;2 077;0;689;142;312;95;244;8 299;21 437;0
Тульская область;3 771;377;0;298;0;37 037;53;5;3 801;3 902;1 333;705;607;101;96;121;59;8;74;8;6;1 836;460;1 809;6 552;711;2 052;2 488;6 657;68;92;26 322;40;2;0;0;3;0;6;2;5;2 860;10 586;9 767;10 828;28 090;2 351;2 592;2 331;4 483;1 532;2;2;8;6 691;6 718;3 536;29 827;5 720;27 288;58 049;19 466;66;408;200 256;53;31;0;0;28;0;10;18;99;10 062;0
Ярославская область;4 502;231;0;266;0;37 804;335;3;3 741;4 751;1 371;772;666;79;143;136;94;11;40;14;7;1 954;827;1 592;7 198;702;1 651;2 193;6 104;358;100;27 426;148;78;2;1;9;2;29;65;3;3 984;14 308;9 122;10 442;32 525;2 076;3 842;2 008;7 974;1 879;1;5;11;9 528;13 480;3 111;30 799;5 122;20 125;42 505;13 813;306;347;195 366;237;2 044;1;52;24;22;1 444;305;2 869;12 839;0
город Москва;50 241;38;3;2 017;0;567 250;1 374;417;47 370;147 910;45 796;24 559;28 010;2 929;4 300;3 858;6 488;748;146;68;524;15 158;2 445;21 386;67 589;8 895;14 415;35 358;74 864;417;434;461 577;324;307;23;6;29;48;297;278;399;36 357;413 152;311 268;351 247;1 559 232;87 564;114 608;68 524;504 265;123 360;8;17;1 826;39 667;33 147;24 562;187 309;48 961;156 687;670 956;237 666;366;1 854;3 838 459;1 356;24 418;121;1 888;526;3 871;12 008;17 306;247 962;103 762;224
СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;48 293;1 829;4;3 850;0;482 909;7 879;292;43 152;68 495;21 255;14 403;12 000;1 611;2 303;2 325;2 615;205;506;93;192;23 605;10 927;17 655;71 338;8 938;21 460;39 774;81 056;3 107;1 537;353 021;2 701;1 214;69;28;13;46;1 780;1 545;294;54 650;213 666;139 469;206 127;578 180;40 443;61 857;44 352;176 622;29 888;31;36;525;118 464;159 969;31 566;294 519;63 717;255 437;819 398;233 937;1 866;3 860;2 933 326;2 167;37 500;196;8 405;123;1 833;69 037;121 819;32 883;140 777;34
Республика Карелия;2 435;0;0;184;0;18 811;714;11;2 281;1 857;516;322;165;24;34;30;20;0;16;5;3;917;140;798;3 515;347;915;1 798;4 303;324;141;13 577;471;61;5;4;0;1;73;77;11;1 679;6 920;3 683;4 898;8 088;822;877;450;1 835;0;0;1;4;5 212;3 398;1 468;15 841;2 688;11 836;45 142;19 042;298;492;110 842;168;3 108;31;332;0;55;716;1 933;4 486;0;0
Республика Коми;3 349;57;0;108;0;38 823;794;9;3 138;2 967;574;460;408;33;38;32;35;0;49;16;7;3 130;939;1 303;4 949;827;4 967;4 610;8 138;637;228;27 813;387;130;0;0;2;3;155;89;9;3 745;9 991;4 345;7 118;18 462;1 075;1 382;959;2 876;0;4;8;19;12 945;17 189;2 159;17 688;7 243;66 139;108 535;30 564;109;386;274 263;130;1 464;0;0;21;90;1 875;553;777;3 276;0
Архангельская область;3 435;43;1;185;0;29 484;1 478;1;2 595;2 818;678;379;269;34;48;31;16;1;55;10;7;2 223;220;1 274;5 969;509;1 717;2 559;6 906;483;189;21 307;387;261;20;1;2;1;414;381;1;2 729;7 400;4 972;5 944;12 020;881;1 608;752;1 031;2;3;3;21;9 117;3 160;2 447;26 633;3 931;22 932;63 804;23 637;305;497;165 473;304;3 440;45;44;20;41;15 689;11 058;710;511;34
Вологодская область;4 337;158;0;308;0;42 978;352;5;3 721;4 101;1 125;658;440;49;105;81;36;1;126;11;0;1 919;688;1 455;7 133;699;2 339;2 749;8 867;493;99;27 297;205;52;2;0;1;11;14;26;5;6 669;15 018;8 079;9 755;18 878;1 427;3 313;1 492;2 356;205;11;4;0;8 392;9 037;2 859;31 760;5 179;30 243;59 764;27 021;417;353;206 835;100;1 265;3;0;11;511;214;617;1 376;20 545;0
Калининградская область;4 836;7;0;1 025;0;32 845;353;7;2 791;3 578;1 207;897;605;88;108;150;161;12;14;17;15;1 203;665;1 803;3 907;631;949;5 193;4 845;9;3;23 412;119;56;7;2;2;1;25;74;7;655;5 884;6 243;12 152;31 184;2 035;2 223;2 364;10 591;2 020;0;5;23;3 563;16 141;3 150;17 260;4 759;12 478;119 793;9 907;6;8;234 477;318;1 804;16;905;29;38;2 169;21 677;91;3 633;0
Ленинградская область;3 236;905;0;389;0;49 950;484;10;3 406;4 496;1 496;991;887;126;109;122;141;33;28;6;8;1 709;560;1 300;6 678;859;2 080;3 974;10 864;158;93;28 477;156;53;3;2;1;5;180;11;10;4 497;16 498;10 876;15 095;44 476;3 341;2 942;2 989;10 461;3 905;3;4;20;9 941;11 122;2 366;29 467;6 227;27 673;78 751;32 268;143;338;257 557;215;1 703;8;175;8;219;333;463;1 017;56 228;0
Мурманская область;1 911;94;0;113;0;19 600;724;8;2 390;2 776;548;345;304;32;33;21;33;3;32;10;7;1 171;540;529;2 926;424;1 053;1 304;3 776;293;327;14 332;378;102;1;4;0;2;48;168;8;1 815;4 607;2 025;2 854;7 762;569;597;235;1 442;350;1;1;11;3 266;2 992;489;6 379;1 598;5 037;8 724;6 772;110;504;47 562;61;1 536;4;347;0;99;19 280;14 689;845;3 013;0
Новгородская область;2 189;195;0;144;0;21 978;158;4;3 039;2 157;516;309;216;51;31;37;26;2;29;3;7;1 116;300;1 070;3 850;448;947;1 160;3 771;130;45;14 455;104;23;1;0;1;2;2;3;4;3 722;8 085;3 886;4 880;10 596;777;894;944;2 011;322;2;2;25;5 643;6 311;2 337;17 534;3 363;12 605;27 253;9 411;108;204;100 553;171;352;4;0;9;63;2;42;115;13 296;0
Псковская область;2 393;166;0;228;0;22 235;165;10;2 925;2 313;519;282;273;56;61;40;48;5;108;4;4;1 443;312;1 127;4 421;452;897;1 273;3 418;107;37;16 493;87;20;1;0;1;2;27;24;10;2 950;6 325;3 950;4 535;13 812;1 603;1 981;788;3 666;760;6;1;5;6 434;5 142;1 852;16 675;2 765;10 326;27 144;7 865;81;134;101 959;89;252;9;0;10;63;11;39;35;15 808;0
город Санкт-Петербург;19 990;114;3;1 166;0;203 457;2 529;225;16 763;41 326;14 052;9 742;8 408;1 118;1 736;1 780;2 099;148;49;9;134;8 704;6 530;6 960;27 824;3 696;5 222;15 045;25 380;328;296;164 743;348;434;29;15;3;18;838;683;227;26 113;132 748;91 315;138 789;412 546;27 913;46 040;33 358;140 353;22 324;1;7;397;53 728;85 032;12 398;114 787;25 726;52 325;278 440;64 571;284;912;1 425 647;607;22 490;76;6 602;15;654;28 676;70 720;23 376;22 802;0
