GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71
Белгородская область;5 606;0;0;314;0;55 788;55;5;8 061;5 930;1 795;1 172;1 119;431;150;7;29;11;4;3 592;573;1 883;8 235;697;3 224;4 557;8 600;48;21;38 763;26;6;1;0;2;7;0;6;4;8 858;33 444;12 112;31 937;38 229;6 223;8 223;955;1;3;14;18 898;12 944;4 033;39 540;4 800;40 936;101 488;37;142;311 941;56;126;1;35;35;509;0;86;425;0;0;68 057
Брянская область;3 603;119;0;381;0;32 766;93;11;4 275;3 585;836;494;469;213;103;6;122;17;14;1 935;396;1 370;6 123;468;1 303;2 522;4 031;39;35;23 979;55;5;0;0;0;0;27;5;1;3 305;7 150;4 822;7 813;20 022;4 636;5 934;574;0;1;14;7 893;4 621;1 348;11 510;2 691;12 457;35 957;33;185;103 944;60;37;0;0;0;0;14;8;70;3 723;0;76 581
Владимирская область;4 072;111;0;237;0;33 909;130;19;3 319;4 673;1 145;694;436;237;82;5;113;6;7;1 765;631;1 493;7 027;618;1 155;1 642;4 946;183;93;24 738;60;9;0;0;0;1;43;0;18;5 080;15 170;6 861;11 044;20 323;4 452;4 246;337;1;0;9;8 107;10 213;2 920;31 445;4 675;13 979;34 675;161;370;165 325;185;300;0;0;0;55;143;0;4 555;7 152;0;43 640
Воронежская область;5 569;1 997;0;409;0;68 943;199;62;8 479;7 587;2 292;1 722;1 110;713;262;30;47;13;15;2 048;447;2 428;9 796;1 049;2 547;4 175;7 799;64;33;42 244;69;43;2;0;2;12;3;11;31;12 401;23 658;16 977;26 214;59 980;10 969;17 888;4 966;0;3;44;11 421;10 705;4 804;44 157;7 770;33 573;98 002;54;138;338 401;60;788;1;0;9;190;3;112;6 212;131 267;0;48 377
Ивановская область;2 591;192;0;130;0;20 246;101;0;2 202;2 286;725;462;281;173;81;5;4;3;11;1 248;35;764;3 501;385;711;916;2 739;75;26;13 458;50;24;0;0;3;10;3;0;0;1 685;5 303;3 372;5 029;10 769;2 631;3 688;396;3;0;6;6 290;648;1 185;9 818;1 547;6 229;12 544;92;85;62 612;52;799;0;0;15;171;4;0;0;2 582;0;26 182
Калужская область;3 322;650;0;258;0;32 993;39;8;2 912;4 138;1 245;684;533;256;84;10;34;8;9;1 343;265;1 495;6 374;466;1 147;1 834;4 447;78;32;22 524;32;1;0;0;0;0;2;5;8;2 535;9 557;8 418;9 824;27 831;3 521;6 530;1 436;1;2;14;5 075;4 814;1 376;13 227;1 713;7 791;25 301;56;111;118 150;18;27;0;0;0;0;45;8;319;38 775;0;15 219
Костромская область;2 346;114;0;128;0;19 498;112;5;2 592;2 315;540;263;242;100;38;1;38;9;9;1 212;140;757;3 343;420;999;762;3 477;174;64;13 572;65;21;0;0;2;3;19;7;5;2 836;7 569;3 590;3 836;11 446;2 275;2 815;210;4;3;20;5 327;2 708;1 472;15 100;3 182;13 130;16 822;169;252;85 477;103;699;0;0;100;419;62;226;9 662;6 035;0;9 877
Курская область;3 253;0;0;158;0;32 119;45;2;4 867;3 457;865;497;353;218;79;4;26;3;3;2 352;277;1 352;5 660;516;1 865;2 363;4 133;21;59;22 436;28;8;0;0;0;4;1;10;2;9 377;13 901;6 628;8 219;19 324;4 319;5 131;1 088;2;3;3;13 035;5 854;2 834;27 468;3 849;25 431;56 434;18;79;166 693;73;406;0;0;0;287;2;20;385;0;0;15 044
Липецкая область;3 578;60;0;203;0;35 867;126;4;5 142;4 092;1 181;673;588;205;108;9;36;3;7;2 338;561;1 459;5 804;540;2 114;2 821;5 653;104;54;26 893;103;9;0;0;5;1;0;8;4;6 343;12 265;8 172;9 882;35 748;4 243;7 136;1 406;0;2;17;14 004;20 937;2 587;25 443;3 886;28 080;66 832;101;227;213 360;178;275;0;0;87;65;0;55;125;3 242;0;24 664
Московская область;21 579;51;0;1 562;0;263 126;648;163;24 932;48 217;12 641;7 489;7 396;3 075;1 824;177;164;60;114;14 170;6 502;9 104;40 576;5 284;8 364;16 922;35 448;501;265;199 933;293;122;6;4;29;15;74;66;161;17 514;142 138;83 907;112 126;339 969;59 049;119 808;26 221;10;23;404;60 674;127 326;19 268;157 111;36 457;107 347;314 501;442;1 030;1 507 707;1 374;6 763;30;931;509;1 087;499;1 463;125 458;3 105;0;364 631
