GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69
    Белгородская область;6672;27;0;0;64571;54;5;7499;7118;2277;1630;870;619;344;32;28;14;25;3574;587;1639;8650;1073;2628;7275;9541;44;76;44883;30;12;0;0;1;5;0;1;3;8284;19106;17191;27679;47504;9917;17546;5018;2;4;110;19860;12625;3350;39472;8176;36764;206019;39;313;446145;95;456;0;0;6;372;0;46;365;3720;0
    Брянская область;4073;6;0;0;40626;91;4;4543;5146;1019;646;457;211;138;15;111;6;16;1862;409;835;5981;583;1325;5660;4261;53;29;28595;39;8;0;0;0;0;30;4;4;2981;10023;6441;10744;23064;3094;7425;2683;5;1;36;8895;5633;1019;13832;3643;14050;122787;35;100;223150;132;251;0;0;0;0;46;127;713;20;0
    Владимирская область;4885;101;0;0;39552;105;15;3394;5320;1372;873;520;324;157;21;89;5;28;1713;402;1127;6903;766;1187;3362;5747;153;89;26981;48;10;1;0;1;2;14;1;15;4778;16970;8513;14371;27743;5472;8122;3274;2;1;46;7837;7246;2317;31394;5831;15066;91277;136;351;232082;42;359;15;0;2;143;40;5;4084;7706;0
    Воронежская область;7937;2003;0;0;93197;361;45;8526;9952;2983;2396;1419;1077;641;52;55;11;41;2021;462;1912;10129;1581;2323;6914;10160;67;103;50723;91;46;1;0;2;19;44;0;40;12680;31922;23135;41271;82347;17926;34827;8175;2;2;139;11896;10901;3825;45389;11730;31815;195589;57;399;502644;73;835;1;0;8;317;34;0;26418;123070;0
    Ивановская область;3463;179;0;0;23254;146;0;2211;2873;944;682;399;278;188;17;7;4;13;1003;31;682;3697;521;633;1313;3151;73;50;15011;64;17;1;0;3;3;3;4;0;1631;6271;5022;9374;18481;3702;8144;2046;0;1;12;5832;326;1104;9210;2030;5635;22590;47;162;87520;67;247;0;0;21;105;3;2;0;2183;0
    Калужская область;4164;695;0;0;44453;64;12;3199;4824;1527;959;633;345;206;19;53;5;31;1262;272;877;6840;624;1165;6900;5672;57;34;29145;12;6;0;0;1;1;2;0;10;2000;11040;10984;16060;35247;5332;11588;3857;7;2;101;5235;4833;770;14318;2233;8526;108578;55;141;219933;41;211;0;0;23;80;170;0;1804;18173;0
    Костромская область;2670;79;0;0;23513;134;13;2992;2916;632;348;279;116;89;8;30;7;15;1050;106;581;3400;464;940;1481;3735;193;98;15243;61;28;0;0;1;1;3;1;5;3198;9171;4531;5690;15919;2088;5384;1338;3;2;49;4784;2518;1207;15862;3710;13017;39153;166;340;118812;102;1063;0;0;13;150;4;46;11192;5001;0
    Курская область;3780;0;0;0;43906;56;4;5076;4465;1163;665;440;264;157;25;40;3;6;2407;321;968;5726;603;1881;3633;6747;12;23;27397;21;9;0;0;0;3;0;3;4;5757;14771;8883;11589;26963;4222;9363;4811;2;1;16;13865;7086;1956;26799;4690;26581;94662;12;100;243622;87;422;0;0;0;270;0;4;472;0;0
    Липецкая область;4222;57;0;0;45232;116;3;4808;5033;1400;922;593;361;213;28;29;2;10;2105;636;1201;5963;695;1805;4537;6303;66;57;29583;73;24;0;0;2;3;0;0;3;5404;14658;10530;15370;34813;5824;11604;5183;2;1;27;12596;14955;2367;27148;5200;25166;128376;68;226;296615;149;838;0;0;38;204;0;0;42;2592;0
    Московская область;30664;27;0;0;299460;683;210;25687;58869;15347;10594;8038;5225;3402;400;191;91;312;11489;6804;8232;45348;7943;8912;36455;42700;545;540;241438;332;141;6;16;9;17;18;59;186;19198;208300;114008;168449;441448;79077;166780;63810;22;36;1225;52973;147721;15114;168449;46256;113603;802211;451;2028;2298979;1410;5954;18;1690;55;518;473;1944;172894;289;0
