GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67
Республика Адыгея;1 222;0;0;3;0;10 877;10;2;1 228;1 387;387;245;187;9;34;0;9;607;32;327;1 280;183;452;950;1 589;9;15;7 308;3;2;0;0;1;1;0;0;0;1 122;3 899;3 051;3 955;10 438;2 051;2;0;17;1 713;446;372;4 486;1 506;5 785;24 964;8;94;61 873;4;22;0;0;23;98;0;0;0;0;0;50
Республика Башкортостан;14 730;0;0;89;0;131 472;466;40;13 623;13 169;4 053;2 863;2 008;104;90;11;60;7 360;2 273;3 215;20 549;5 199;7 336;12 885;20 007;864;552;94 689;240;80;2;1;6;19;29;25;22;25 750;51 544;32 180;45 259;102 794;17 469;11;6;229;43 673;47 715;6 470;97 270;39 554;102 935;337 113;743;2 090;932 510;464;1 432;11;24;56;707;300;346;3 646;0;0;11 199
Республика Бурятия;2 812;0;0;9;0;23 385;493;21;2 466;2 970;516;327;320;6;30;8;6;1 728;173;484;3 420;533;1 183;1 864;4 153;130;134;16 024;237;97;0;2;1;7;6;35;0;1 607;6 036;2 086;2 732;7 941;622;2;2;18;4 902;1 777;538;12 215;3 005;9 553;34 552;34;166;86 966;65;1 055;0;140;6;149;9;450;0;0;0;1 075
Республика Алтай;1 049;0;0;26;0;8 504;121;14;712;1 258;253;128;165;8;4;1;3;570;42;146;1 154;179;422;599;1 612;46;138;5 636;31;19;0;0;1;1;0;10;6;436;2 008;783;1 177;6 134;718;0;0;5;1 892;372;168;2 442;614;2 318;6 352;17;327;24 701;48;229;0;0;0;20;0;136;223;0;0;2 231
Республика Дагестан;3 759;0;0;0;0;21 942;191;14;3 166;2 827;780;409;518;14;8;5;21;2 207;159;1 427;2 389;324;959;1 855;2 518;16;12;17 160;140;27;0;0;0;3;0;4;9;1 942;3 077;4 352;4 268;17 637;2 136;1;1;32;4 771;1 320;1 336;5 230;1 313;8 029;29 459;10;36;82 776;127;893;0;0;0;103;0;888;2 980;0;0;0
Республика Ингушетия;596;0;0;1;0;5 126;9;0;620;576;105;54;124;5;10;0;1;683;18;70;247;62;163;685;545;0;2;3 418;1;3;0;0;0;5;0;0;0;236;415;253;405;2 213;351;0;0;1;986;119;42;394;150;631;4 694;0;2;10 539;0;13;0;0;0;65;0;0;0;0;0;79
Кабардино-Балкарская Республика;1 672;0;0;29;540;12 680;7;15;824;1 340;387;240;268;10;10;2;0;810;70;351;1 379;159;442;739;1 312;9;5;7 021;2;3;0;0;0;0;0;0;15;399;1 717;1 814;2 877;9 650;1 666;0;0;0;957;309;106;1 549;341;1 218;5 831;3;6;26 769;0;33;0;0;0;0;0;0;238;0;0;392
Республика Калмыкия;946;0;0;3;0;8 641;50;19;1 642;1 254;182;63;54;2;29;0;1;553;20;247;1 091;86;325;361;783;1;2;5 919;28;3;0;0;0;0;0;1;19;1 362;3 029;1 417;1 069;2 338;107;3;0;4;2 767;398;386;3 454;508;4 163;8 076;1;12;28 990;47;47;0;0;0;0;0;108;299;0;0;55
Карачаево-Черкесская Республика;1 087;0;0;3;0;9 201;10;0;1 170;1 121;203;205;183;9;7;0;2;620;39;241;1 134;123;371;1 040;1 067;11;7;6 459;1;2;0;0;0;0;0;0;0;637;1 775;899;2 483;7 419;1 442;0;0;2;1 161;252;197;2 111;395;2 339;17 507;3;10;37 178;0;86;0;0;0;0;0;0;0;0;0;14
Республика Карелия;2 870;0;0;0;0;22 730;858;7;2 003;2 437;721;471;187;6;16;1;6;763;155;549;3 729;514;676;2 387;4 773;375;277;14 615;473;105;5;2;1;1;74;67;7;1 498;9 875;5 745;7 692;9 081;1 085;1;0;22;4 674;3 819;1 030;17 219;3 922;9 331;72 404;345;909;146 314;273;5 184;16;270;23;88;458;2 414;4 921;0;0;0
