"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67"
"Республика Адыгея","1327","0","0","5","0","11937","13","3","1369","1471","425","313","217","22","35","0","6","637","32","294","1382","202","441","1231","1856","10","23","8054","3","1","0","0","1","2","0","0","1","1227","4018","3369","4423","12538","3659","2","0","15","1775","438","340","4828","1601","5356","33166","8","118","73097","2","18","0","0","23","169","0","0","4","0","0","57"
"Республика Башкортостан","15763","0","0","10","0","139052","469","43","15075","13888","4574","3788","2252","145","89","16","58","6496","1964","2712","20790","7047","6276","16369","21209","784","637","101388","237","94","2","1","9","20","9","24","24","27855","52906","36522","56447","117293","23254","10","7","219","38760","47535","5311","96710","51591","86826","451412","676","2398","1069408","456","1598","11","24","75","769","6","364","3672","0","0","1633"
"Республика Бурятия","2962","0","0","18","0","24733","495","35","2306","2943","570","388","361","15","39","6","6","1952","219","398","3388","589","1158","2442","4577","144","151","16765","224","100","0","2","1","8","5","44","0","1608","6032","2381","3200","11744","1704","3","2","11","5999","3244","446","12320","3279","9365","47326","39","201","106959","67","1077","0","146","6","191","3","596","0","0","0","2249"
"Республика Алтай","1130","0","0","27","0","9316","123","25","682","1236","280","195","168","6","5","1","3","623","63","124","1179","180","382","792","1700","57","230","5913","38","17","0","0","0","0","6","6","14","436","2006","927","1689","6672","701","0","0","6","2064","517","138","2461","621","2150","8851","22","594","28539","65","218","0","0","0","0","69","113","651","0","0","2366"
"Республика Дагестан","4251","0","0","0","0","27928","199","13","3640","3277","857","509","595","28","9","3","20","2336","179","1285","2842","346","1115","3106","3307","12","13","20110","112","30","0","2","0","8","0","10","8","2181","3568","4794","5223","20999","3205","0","1","36","5118","1572","1257","6154","1463","9407","43361","7","37","105144","90","436","0","573","0","179","0","1290","555","0","0","0"
"Республика Ингушетия","682","0","0","1","0","6175","14","1","635","637","128","57","105","4","9","1","0","767","24","72","308","55","181","1306","589","5","4","4285","1","3","0","0","1","9","0","0","1","246","500","305","372","1994","351","0","0","0","1131","157","41","462","131","687","9960","0","4","15986","0","13","0","0","3","116","0","0","4","0","0","Х"
"Кабардино-Балкарская Республика","1797","0","0","30","540","13896","5","13","889","1471","418","461","308","20","4","2","1","700","88","334","1442","178","414","981","1491","10","9","7691","1","1","0","0","0","1","0","0","0","424","1871","1898","4864","11207","2930","0","0","0","880","409","99","1605","420","1126","8193","3","14","32993","0","22","0","0","0","7","0","0","0","0","0","438"
"Республика Калмыкия","1118","0","0","3","0","9973","53","40","1829","2033","243","115","66","1","34","0","2","589","24","215","1123","96","309","493","668","1","7","7171","29","4","0","0","0","0","1","1","40","1513","4685","1736","1605","2993","197","3","0","4","2851","479","348","3592","556","3992","10213","1","28","34572","49","122","0","0","0","0","1","108","679","0","0","5"
"Карачаево-Черкесская Республика","1218","0","0","3","0","10246","18","1","1307","1182","233","235","177","12","9","0","2","730","42","233","1185","131","355","1368","1282","47","23","7189","1","2","0","0","0","0","0","0","1","698","1848","1033","2545","7599","1704","0","0","2","1379","277","174","2210","412","2295","22661","15","33","43134","0","86","0","0","0","0","0","0","42","0","0","15"
"Республика Карелия","2961","0","0","2","0","23246","941","6","2019","2561","745","552","212","6","19","2","8","807","173","470","3762","521","596","2506","5159","352","303","14953","480","103","10","0","1","0","101","96","6","1534","10136","6030","8658","10413","970","2","0","26","5047","4111","929","17535","4022","8131","77745","326","1026","154319","282","4369","47","0","23","0","700","3864","3135","0","0","2"
