"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67"
"Республика Адыгея","1 363","","0","0","6","0","11 551","11","3","1 381","1 612","448","338","218","30","31","1","7","653","52","294","1 469","215","418","1 282","1 858","12","28","8 415","3","1","0","0","1","1","0","0","1","1 263","4 387","3 544","5 061","14 087","5 611","2","0","18","1 858","551","340","5 093","1 659","5 276","34 799","9","136","77 938","2","18","0","0","23","148","0","0","4","0","0","58",""
"Республика Башкортостан","16 146","","0","0","21","0","140 020","466","54","15 043","14 107","4 637","4 069","2 344","200","106","23","66","6 805","2 156","2 620","20 548","7 123","5 975","16 355","21 629","732","676","101 927","246","103","2","1","10","20","5","22","34","28 777","55 204","37 612","63 647","126 567","29 782","12","8","241","39 439","51 556","5 236","97 613","55 155","83 374","468 435","623","2 544","1 112 876","475","1 743","11","18","92","772","4","387","3 912","0","0","2 954",""
"Республика Бурятия","3 022","","0","0","19","0","25 421","492","35","2 178","2 901","608","436","386","22","37","6","4","1 988","236","359","3 482","600","1 145","2 715","4 862","150","175","17 080","218","95","1","2","1","9","6","45","0","1 546","5 952","2 548","3 583","13 309","2 643","3","1","12","6 140","3 366","403","12 744","3 444","9 616","55 845","41","239","118 513","67","1 030","0","146","6","199","10","640","0","0","0","2 268",""
"Республика Алтай","1 134","","0","0","21","0","9 557","141","26","673","1 245","287","208","176","10","4","1","3","677","65","121","1 199","180","385","832","1 602","52","248","6 056","41","19","0","0","0","0","6","7","13","426","2 011","965","1 960","6 984","819","0","0","5","2 173","558","136","2 513","636","2 240","9 911","20","682","30 518","71","271","0","0","0","0","69","113","718","0","0","1 854",""
"Республика Дагестан","4 193","","0","0","0","0","26 510","168","29","3 720","3 286","822","509","576","31","7","5","24","2 417","223","1 215","2 879","351","1 167","3 465","4 259","9","6","20 667","98","33","0","2","0","10","0","7","24","2 300","3 678","4 699","5 488","20 699","3 247","0","1","43","5 299","1 977","1 216","6 304","1 474","9 726","51 064","4","8","113 969","84","498","0","573","0","304","0","730","2 713","0","0","0",""
"Республика Ингушетия","705","","X","X","X","0","6 195","15","1","669","625","125","59","99","4","8","1","0","795","21","70","348","49","191","1 315","566","8","4","4 375","1","3","0","0","1","10","0","0","1","251","482","308","434","1 913","278","0","0","0","1 180","122","38","506","117","740","10 666","2","4","16 758","0","18","0","0","3","122","0","0","5","X","X","X",""
"Кабардино-Балкарская Республика","1 872","","0","0","19","542","13 978","7","12","867","1 465","442","552","300","22","5","2","0","717","100","306","1 323","192","396","1 027","1 691","11","14","7 694","1","2","0","0","0","1","0","0","12","414","1 851","1 911","6 269","11 333","3 093","0","0","0","892","468","91","1 498","436","1 127","9 049","2","24","35 340","0","25","0","0","0","17","0","0","228","0","0","336",""
"Республика Калмыкия","1 171","","0","0","2","0","10 078","52","48","1 845","2 006","252","130","86","5","39","1","3","576","25","216","1 159","118","322","452","658","1","7","7 230","28","3","0","0","0","0","1","1","48","1 369","4 391","1 798","1 911","3 560","734","3","0","10","2 863","511","344","3 636","686","4 151","9 891","1","33","35 125","51","179","0","0","0","0","1","108","891","0","0","3",""
"Карачаево-Черкесская Республика","1 234","","0","0","3","0","10 274","22","1","1 290","1 166","230","239","183","12","8","0","3","708","53","252","1 139","138","343","1 343","1 293","41","22","7 095","4","2","0","0","0","0","0","0","1","710","1 834","1 053","2 689","7 693","1 946","0","0","3","1 318","311","195","2 105","426","2 238","23 121","12","37","43 695","1","86","0","0","0","0","0","0","42","0","0","16",""
"Республика Карелия","2 969","","0","0","4","0","23 217","991","7","1 989","2 495","749","543","228","7","23","2","12","817","170","438","3 699","508","550","2 620","5 275","344","315","14 843","502","90","10","0","2","1","106","118","7","1 527","10 129","6 158","8 831","10 912","867","2","1","33","5 193","4 524","886","17 412","3 997","7 769","80 446","319","1 063","157 818","320","3 776","47","0","30","63","810","4 981","2 601","0","0","3",""
