"field name","english description","russian description","format"
"GA","Subjects of the Russian Federation","Субъекты Российской Федерации","text"
"GB","The number of taxpayers registered in the tax authority database who have calculated the tax payable","Количество налогоплательщиков, учтенных в базе данных налоговых органов, которыми исчислен налог к уплате","integer"
"G1","The number of taxpayers registered in the database of tax authorities who have been granted tax benefits established by subparagraph 4 of paragraph 3 of Article 356.1 of the Tax Code of the Russian Federation","Количество налогоплательщиков, учтенных в базе данных налоговых органов, которым предоставлены налоговые льготы, установленные пп. 4 п. 3 ст. 356.1 НК РФ","integer"
"G2","The number of taxpayers registered in the database of tax authorities applying tax benefits established in accordance with Article 7 of the Tax Code of the Russian Federation and international treaties of the Russian Federation","Количество налогоплательщиков, учтенных в базе данных налоговых органов, применяющих налоговые льготы, установленные в соответствии со ст. 7 НК РФ международными договорами Российской Федерации","integer"
"G3","The number of taxpayers registered in the database of tax authorities applying tax benefits established by the legislation of the constituent entities of the Russian Federation","Количество налогоплательщиков, учтенных в базе данных налоговых органов, применяющих налоговые льготы, установленные законодательством субъектов Российской Федерации","integer"
"G4","The number of taxpayers registered in the database of tax authorities, who were assessed tax at tax rates established by the legislation of the constituent entities of the Russian Federation in the amount of 0 rubles","Количество налогоплательщиков, учтенных в базе данных налоговых органов, которым исчислен налог по налоговым ставкам, установленным законодательством субъектов Российской Федерации в размере 0 рублей","integer"
"G5","Number of vehicles registered in the tax authority's database of land vehicles","Количество транспортных средств, учтенных в базе данных налогового органа наземных транспортных средств","integer"
"G6","Number of vehicles registered in the database of the tax authority for watercraft","Количество транспортных средств, учтенных в базе данных налогового органа водных транспортных средств","integer"
"G7","Number of vehicles registered in the tax authority's database of aircraft","Количество транспортных средств, учтенных в базе данных налогового органа воздушных транспортных средств","integer"
"G8","Number of vehicles for which the tax payable is calculated, for land vehicles - Passenger cars with an engine capacity of up to 100 hp (up to 73.55 kW) inclusive","Количество транспортных средств, в отношении которых исчислен налог к уплате, по наземным транспортным средствам - Автомобили легковые с мощностью двигателя до 100 л.с. (до 73,55 кВт) включительно","integer"
"G9","Number of vehicles for which the tax payable is calculated, for land vehicles - Passenger cars with an engine power of over 100 hp to 150 hp (over 73.55 kW to 110.33 kW) inclusive","Количество транспортных средств, в отношении которых  исчислен налог к уплате, по наземным транспортным средствам - Автомобили легковые с мощностью двигателя свыше 100 л.с. до 150 л.с. (свыше 73,55 кВт до 110,33 кВт) включительно","integer"
