GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35
Республика Адыгея;6 627 127;3 677 841;6 190 008;3 313 699;109 336;41 312;5 894 809;6 259 236;599 283;364 958;96 822;14 918;353 667;369 170;82 043;52 088;124 156;93 603;0;0;229 514;275 569;73 295;49 314;24 169;6 686;1 836;3 933;1 013;752;831;1 339;344;265;15;4
Республика Башкортостан;73 640 023;23 192 928;70 311 444;21 310 354;455 083;369 124;36 851 153;37 787 858;4 831 542;2 009 388;672 066;59 746;2 210 610;2 227 172;713 551;291 555;809 011;648 997;0;0;1 401 895;1 578 500;586 703;256 447;385 892;84 611;15 074;28 195;12 307;5 587;7 396;8 081;4 304;1 785;272;48
Республика Бурятия;19 743 650;9 580 789;18 412 556;8 793 510;82 714;12 406;8 991 012;8 956 643;1 517 860;890 312;33 820;5 327;539 320;535 325;225 215;123 874;182 694;176 157;0;0;356 006;358 099;198 089;112 287;77 773;27 263;4 826;5 920;4 206;1 539;2 730;2 020;1 782;506;21;7
Республика Алтай;4 996 737;1 534 893;4 660 489;1 398 983;17 426;6 798;2 872 265;1 549 911;415 278;144 797;140 857;5 302;172 277;84 538;53 525;18 775;57 666;28 314;0;0;114 666;56 198;46 712;16 230;20 876;6 705;1 129;2 316;1 225;827;614;843;564;315;57;25
Республика Дагестан;15 709 964;9 436 623;13 874 650;8 089 637;72 729;32 541;4 848 260;3 677 790;2 081 155;1 456 893;0;0;290 896;220 667;208 114;145 689;99 157;54 179;0;0;191 739;166 489;195 536;140 735;42 999;9 702;1 997;3 686;3 243;2 241;760;969;1 192;502;0;0
Республика Ингушетия;2 356 087;361 620;2 087 028;316 648;4 762;8;714 783;284 980;278 173;48 111;820;18;42 887;17 097;41 726;7 213;10 795;2 308;0;0;32 091;14 788;40 790;6 875;3 506;366;612;291;619;140;408;89;311;42;2;2
Кабардино-Балкарская Республика;11 079 558;4 893 098;9 554 089;4 015 408;41 663;76 134;3 339 921;2 229 892;1 765 433;894 040;0;0;200 401;133 759;122 278;65 007;76 104;34 037;0;0;124 283;99 717;106 631;58 634;46 367;13 934;1 304;1 908;2 188;1 355;600;552;764;408;0;0
Республика Калмыкия;2 832 316;2 167 680;2 555 732;1 959 486;5 761;9 970;865 671;982 713;314 553;242 855;0;0;51 927;58 903;31 792;23 976;18 907;19 145;0;0;33 024;39 770;27 788;21 312;12 433;7 448;594;1 188;783;574;304;354;332;165;0;0
Карачаево-Черкесская Республика;4 011 478;1 991 747;3 765 550;1 797 700;61 942;650;2 494 052;1 480 013;289 995;208 876;0;0;149 166;86 015;41 854;28 950;55 023;26 676;0;0;94 143;59 311;35 347;26 492;17 034;6 025;981;1 688;771;578;458;551;301;231;0;0
Республика Карелия;33 004 565;3 362 392;30 809 829;3 027 197;174 022;35 207;11 424 894;8 157 116;2 774 617;398 134;0;0;685 497;489 426;345 146;49 354;242 414;135 600;0;0;443 083;353 824;280 812;43 764;168 590;11 623;5 103;5 901;5 494;1 081;2 747;1 636;2 026;364;0;0
