GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25
Белгородская область;26 879 730;10 223 896;23 954 381;8 916 394;323 659;137 822;20 330 803;9 897 447;3 184 652;1 390 062;1 219 848;593 847;268 307;124 792;409 455;164 215;810 391;429 635;215 464;108 682;154 223;37 543;5 273;9 911;4 313;3 029
Брянская область;19 567 725;6 681 280;18 293 356;6 018 297;179 775;65 597;11 976 071;9 299 574;1 402 093;668 924;718 564;557 974;207 114;100 052;259 192;131 019;459 372;426 955;177 566;92 036;93 328;17 046;3 712;9 059;3 517;1 542
Владимирская область;35 115 560;13 643 533;32 949 966;12 490 947;377 364;103 696;20 227 378;15 059 697;2 625 498;1 253 403;1 213 643;903 582;383 714;181 510;473 227;239 707;740 416;663 875;331 416;170 543;151 133;26 487;6 863;10 580;6 243;2 665
Воронежская область;39 053 304;12 372 983;37 148 594;12 182 618;340 467;59 103;31 953 757;17 015 976;2 893 410;1 030 805;1 917 225;1 020 959;396 099;151 380;720 838;218 250;1 196 387;802 709;327 504;137 107;198 405;40 226;7 510;11 162;6 644;2 832
Ивановская область;38 174 467;10 182 764;35 998 031;9 171 831;370 800;71 588;10 663 014;8 500 584;2 976 046;1 127 184;639 785;510 035;346 686;134 094;220 903;126 544;418 882;383 491;284 063;121 872;183 810;25 547;4 297;5 545;6 610;2 397
Калужская область;24 286 066;8 067 682;22 923 285;7 517 585;257 280;102 088;17 263 798;12 151 823;1 794 314;784 991;1 035 828;729 109;238 638;102 975;399 549;167 545;636 279;561 564;206 499;97 121;124 186;23 735;5 025;7 673;4 286;1 901
Костромская область;24 801 415;13 850 155;23 768 615;12 457 433;227 398;73 799;10 120 690;7 112 936;1 819 671;1 515 591;607 241;426 776;268 152;225 016;243 014;124 109;364 227;302 667;231 574;213 868;106 409;26 576;3 623;4 973;3 593;2 017
Курская область;17 187 305;10 952 508;16 257 343;10 157 856;75 787;26 268;9 138 225;11 289 747;1 189 250;869 289;548 294;677 385;178 389;130 382;217 217;153 331;331 077;524 054;145 666;117 833;85 577;25 795;3 228;6 101;3 430;1 885
Липецкая область;30 848 748;11 154 822;25 597 332;7 804 339;392 777;152 121;5 785 876;3 767 004;5 853 105;3 395 746;347 153;226 020;292 376;170 180;146 874;58 796;200 279;167 224;234 198;153 823;170 552;36 111;2 081;3 736;5 039;2 935
Московская область;157 079 936;42 868 703;148 906 195;38 355 012;1 840 985;323 885;151 532 019;113 816 306;12 332 221;4 928 344;9 091 927;6 828 982;1 831 224;738 476;3 386 035;1 321 861;5 705 892;5 507 121;1 589 745;697 236;688 618;96 346;39 065;55 535;24 589;10 480
Орловская область;16 266 863;6 287 491;15 210 314;5 807 284;98 576;43 002;7 210 383;5 066 402;1 579 509;712 810;432 623;303 984;158 729;83 768;171 915;77 382;260 708;226 602;123 750;77 560;91 781;15 896;2 435;4 089;2 691;1 385
Рязанская область;23 935 247;8 226 172;22 712 539;7 579 235;218 789;51 707;16 577 848;9 686 192;1 766 604;701 604;994 671;581 172;263 937;104 775;384 222;141 956;610 449;439 216;226 202;96 359;98 840;19 077;4 961;6 132;4 130;1 813
Смоленская область;25 495 620;11 479 814;22 027 331;8 757 888;169 856;71 771;8 707 184;5 353 184;3 906 152;2 996 789;522 431;321 191;200 847;150 410;214 456;97 727;307 975;223 464;140 914;129 792;170 851;43 334;3 175;4 577;4 786;2 703
Тамбовская область;12 536 591;5 418 536;12 023 901;4 997 817;40 441;69 004;9 188 644;6 086 706;917 101;479 791;551 319;365 202;123 598;69 868;224 540;88 792;326 779;276 410;101 421;64 644;58 477;13 570;3 442;4 962;2 851;1 203
Тверская область;27 413 874;5 186 652;25 924 299;4 787 012;140 622;34 873;19 914 065;9 912 706;2 114 384;464 523;1 194 844;594 762;316 292;69 468;473 256;149 248;721 588;445 514;272 849;63 664;119 031;14 586;6 798;7 338;5 720;1 568
Тульская область;26 837 702;6 839 616;25 356 029;6 211 271;212 771;68 684;19 843 877;11 430 579;1 981 883;670 791;1 190 633;685 835;288 822;96 063;472 438;165 218;718 195;520 617;244 733;90 081;146 562;26 732;6 225;7 816;4 751;1 972
Ярославская область;28 365 692;7 426 689;28 337 909;6 912 099;521 850;51 626;15 857 171;11 612 195;2 059 317;743 257;951 430;696 732;291 395;108 641;345 876;161 473;605 554;535 259;242 049;99 554;144 491;22 023;6 694;7 381;6 502;2 054
город Москва;626 262 492;58 975 416;593 374 234;53 897 820;3 871 600;1 059 219;505 832 233;299 706 340;50 838 258;6 595 190;30 349 592;17 979 749;7 569 571;978 764;10 844 824;2 932 902;19 504 768;15 046 847;6 808 467;929 389;2 307 253;136 107;94 502;110 175;80 167;15 079
СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;592 372 081;84 566 518;551 127 328;75 454 715;4 866 580;913 322;289 748 702;174 357 546;55 672 820;10 282 230;17 384 927;10 461 459;6 492 884;1 222 441;6 384 097;2 218 441;11 000 830;8 243 018;5 643 537;1 130 995;2 625 030;235 029;85 224;102 160;94 766;24 404
Республика Карелия;25 945 354;2 863 764;24 366 764;2 569 459;227 281;34 330;10 568 180;5 824 182;2 131 756;305 114;634 096;349 451;264 511;37 235;223 657;95 088;410 439;254 363;209 335;32 891;139 449;10 102;4 755;4 919;4 850;912
Республика Коми;21 767 234;4 955 753;20 636 079;4 607 459;176 339;64 122;17 844 779;12 281 179;1 663 868;463 466;1 070 687;736 871;241 898;66 755;399 270;174 853;671 417;562 018;207 041;54 261;120 973;22 203;5 045;7 512;4 097;1 243
Архангельская область;34 418 832;11 281 310;32 828 671;10 442 708;372 216;66 895;16 872 881;17 663 373;2 583 208;1 091 856;1 012 373;1 059 802;378 831;161 463;379 580;257 431;632 793;802 371;316 496;149 387;176 895;34 029;5 732;12 040;5 300;2 323
Вологодская область;35 205 552;9 148 775;33 784 285;8 454 731;571 090;142 121;14 229 437;11 993 900;2 291 361;845 200;853 766;719 634;343 704;126 627;306 343;211 583;547 423;508 051;305 200;115 921;185 080;28 173;5 833;10 968;7 022;2 423
Калининградская область;140 970 413;17 108 521;133 074 391;15 636 035;1 067 791;102 104;25 159 630;16 510 226;10 891 189;1 555 015;1 509 578;990 614;1 630 313;232 436;444 537;235 880;1 065 041;754 734;1 480 999;217 270;434 975;34 350;8 280;8 810;17 707;3 444
