GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43
Республика Адыгея;8 897 745;6 104 058;8 402 388;5 595 494;14 806;21 237;8 084 505;12 499 490;808 463;540 694;485 069;749 702;121 268;80 423;178 095;200 821;0;0;306 978;549 085;109 608;73 049;31 634;13 474;705;473;0;0;0;0;1 798;4 759;948;781;809;1 485;322;236;0;0;0;0;0;0
Республика Башкортостан;114 556 599;41 437 559;108 751 592;38 115 968;463 676;351 379;51 637 940;76 180 407;7 854 206;3 487 112;3 098 242;4 477 715;1 175 468;513 552;1 128 159;1 331 143;0;0;1 974 194;3 148 407;962 356;446 552;567 158;143 953;15 595;7 569;0;0;92 981;1 959;15 289;37 234;12 751;6 762;7 214;9 663;3 927;2 107;356;53;0;0;0;0
Республика Бурятия;34 755 822;13 401 953;32 411 930;12 156 882;79 309;19 508;14 600 049;14 220 672;2 766 211;1 336 999;871 065;851 559;411 286;190 543;279 118;270 396;0;0;592 097;584 640;360 650;182 203;120 825;32 793;3 249;554;4 418;220;1 339;23;5 791;7 228;4 390;1 812;2 823;2 320;1 753;518;21;4;10;6;5;4
Республика Алтай;7 376 045;2 062 776;6 842 339;1 878 823;16 381;8 486;4 256 667;2 871 645;781 810;184 685;255 396;162 430;99 122;25 121;93 794;56 204;0;0;161 602;106 257;88 687;22 279;31 675;6 476;962;1 065;0;0;5 355;2 348;1 171;2 646;1 155;739;622;819;459;243;41;18;0;0;42;14
Республика Дагестан;23 223 650;19 209 338;19 439 049;15 882 498;116 011;50 313;8 221 693;8 273 307;3 920 626;3 298 173;493 302;496 398;392 063;329 817;165 220;137 347;0;81;328 082;358 970;388 978;314 262;37 035;15 441;11 601;5 031;0;0;687;0;1 965;4 503;3 316;2 647;716;821;1 060;455;12;0;0;0;2 256;2 192
Республика Ингушетия;2 320 867;476 907;2 089 201;433 912;4 771;0;870 245;559 718;247 897;43 013;52 214;33 582;37 126;6 211;14 623;9 574;0;0;37 592;24 010;36 061;6 024;3 435;1 268;0;0;0;0;0;0;475;261;659;151;281;75;298;61;0;0;0;0;0;0
Кабардино-Балкарская Республика;18 022 364;10 748 766;16 132 268;9 505 912;140 637;105 572;3 648 846;4 560 738;2 016 600;1 397 622;218 892;272 979;227 519;159 975;73 936;71 845;0;0;144 955;201 130;207 137;144 473;51 104;32 156;9 252;2 754;106;0;336;1 471;1 224;2 388;2 368;1 720;558;601;826;434;9;5;2;0;1 412;1 221
Республика Калмыкия;5 018 924;4 082 727;4 582 777;3 601 062;7 161;838;1 397 107;2 180 571;497 231;490 985;83 360;114 952;51 148;49 326;29 294;36 571;0;0;54 067;78 416;41 851;42 613;21 751;12 324;1 589;21;467;15 435;492;425;549;1 378;736;597;257;381;278;141;1;1;2;7;256;316
Карачаево-Черкесская Республика;6 722 197;3 341 973;6 328 045;3 025 529;40 025;10 644;4 081 048;3 512 488;610 216;347 799;243 601;200 835;88 062;49 861;82 403;57 844;0;0;161 199;142 986;82 888;47 096;16 003;6 138;5 316;498;1 260;7 667;1 987;5;1 039;1 984;768;551;475;599;260;182;9;1;9;12;33;22
Республика Карелия;43 885 325;6 000 233;40 843 293;5 470 392;152 414;44 114;14 861 489;14 846 687;4 066 425;662 147;887 457;886 820;506 102;81 748;315 449;281 364;0;0;572 005;605 453;407 625;71 738;229 800;22 459;3 646;1 815;1 261;33;2 975;335;4 997;7 939;5 211;1 096;2 685;1 797;1 840;296;67;6;7;4;3 254;756
Республика Коми;30 196 396;7 381 752;27 978 865;6 770 479;167 316;70 171;21 376 291;20 362 984;2 612 081;673 304;1 282 575;1 202 312;383 736;97 425;503 424;381 315;0;0;779 153;821 001;328 194;85 658;148 905;27 424;4 532;738;0;0;19 468;2 972;5 051;9 492;3 673;1 201;2 183;2 462;1 145;318;109;13;0;0;105;12
Республика Марий-Эл;29 075 592;7 279 761;27 146 484;6 356 841;168 023;36 086;10 925 001;11 165 031;2 184 923;693 421;655 505;661 878;327 000;98 449;255 688;226 922;0;0;399 819;435 138;275 013;88 446;126 671;21 928;6 302;794;0;0;6 913;3 149;2 693;6 108;3 299;1 358;1 157;1 650;1 048;378;33;24;0;0;0;0
Республика Мордовия;15 849 056;6 678 175;14 934 519;6 254 102;74 776;38 292;8 703 015;11 341 405;1 145 732;547 162;522 180;678 092;171 866;81 887;206 290;227 953;0;22;315 884;450 168;140 442;68 503;81 739;27 598;9 764;5 269;0;0;2 325;189;2 503;5 577;2 215;1 216;1 141;1 331;805;311;29;2;0;0;2;0
Республика Саха (Якутия);58 427 082;21 662 493;52 739 829;18 983 511;218 538;132 001;19 852 599;21 225 365;6 457 666;2 822 613;1 142 370;1 076 337;665 940;273 942;357 537;310 591;0;0;747 283;747 983;555 488;237 518;284 266;84 319;5 940;3 075;89 465;135 153;66 791;17 654;4 127;10 395;5 934;4 032;2 041;3 204;1 999;1 257;410;200;349;2 019;3 527;2 362
Республика Северная Осетия-Алания;14 572 326;5 321 267;13 363 881;4 842 872;95 089;4 451;5 687 169;6 074 824;1 266 788;490 667;341 228;361 768;189 064;73 415;125 052;96 630;0;-114;216 181;265 266;181 222;70 916;21 972;5 229;1 655;0;0;0;0;101;1 760;3 181;1 629;818;801;956;576;253;3;1;0;0;4;3
Республика Татарстан;177 438 230;51 531 193;159 181 749;44 757 356;1 071 473;404 714;76 546 629;97 340 099;20 034 532;7 255 969;4 592 798;5 840 406;1 965 531;705 564;1 712 350;1 625 445;0;319;2 880 448;4 214 642;1 635 830;631 885;836 142;159 777;39 950;10 045;0;0;0;0;17 525;35 698;18 653;8 464;7 496;7 652;5 550;2 461;0;0;0;0;13 103;6 003
Республика Тыва;4 651 064;3 972 229;4 362 246;3 563 001;8 276;93 381;1 888 728;1 443 768;384 893;329 881;113 275;86 024;56 911;51 054;34 737;23 450;0;0;78 599;62 532;48 742;43 792;20 909;10 508;958;10 750;212;564;112;0;489;904;595;433;208;190;177;92;2;2;1;8;3;6
Удмуртская Республика;80 366 821;27 293 079;73 476 538;23 941 856;425 481;97 773;19 577 154;29 979 852;8 570 939;3 471 333;1 174 625;1 757 993;933 739;410 244;424 340;526 632;0;0;750 294;1 231 362;783 803;378 367;377 282;71 043;11 971;5 330;0;0;33 209;31 220;5 621;14 740;8 731;4 824;2 400;4 052;2 548;1 569;187;110;0;0;1 357;470
Республика Хакасия;17 902 063;12 944 022;16 628 959;11 781 662;81 068;29 013;6 578 266;7 490 375;1 478 232;1 216 625;390 804;445 385;206 266;176 383;142 032;150 068;0;0;248 769;295 560;177 296;166 602;74 489;21 146;3 497;699;3 239;1 933;592;272;1 823;4 590;2 212;1 262;781;1 141;701;271;8;8;17;23;287;144
Чеченская Республика;5 740 973;1 831 236;4 997 872;1 534 404;8 242;3 462;8 093 734;15 270 408;882 906;330 397;96 879;165 275;39 140;18 828;27 188;70 689;0;-291;69 691;94 877;28 531;16 106;34 925;7 208;1;73;388 745;745 962;3 404;0;896;2 047;723;522;301;638;283;170;3;1;568;1 320;365;325
Чувашская Республика;54 146 855;20 383 064;50 195 629;18 773 360;268 066;96 621;18 588 635;27 500 331;4 252 369;1 788 361;1 115 321;1 648 777;606 078;257 344;434 349;519 292;0;96;680 976;1 129 511;496 326;222 585;253 356;65 575;10 200;1 629;0;0;361;26;4 801;15 296;5 684;2 977;1 989;3 495;1 717;752;4;1;0;0;325;191
Алтайский край;93 813 594;22 994 522;87 259 870;20 956 010;560 230;112 094;34 945 353;42 481 277;7 408 160;2 099 357;2 096 365;2 547 093;1 094 092;314 249;765 585;773 420;0;0;1 330 781;1 773 704;944 672;289 795;364 644;58 034;33 263;5 395;0;0;545;127;9 580;17 874;9 908;3 483;3 914;3 231;2 673;761;11;1;0;0;0;0
Краснодарский край;197 984 912;112 284 591;185 503 074;102 519 263;830 656;915 278;137 758 756;273 067 736;16 927 013;10 629 991;8 265 276;16 373 413;2 532 233;1 591 264;3 075 532;4 348 825;0;0;5 189 545;12 024 020;2 226 932;1 434 177;810 161;316 211;45 860;41 058;0;0;0;0;31 835;99 815;17 151;10 894;14 337;26 794;5 067;2 814;0;0;0;0;0;0
Красноярский край;122 146 989;33 656 852;114 083 065;30 671 842;546 478;154 849;68 377 296;68 540 482;9 397 404;3 179 256;4 102 640;3 951 313;1 409 604;454 860;1 479 238;1 097 384;0;0;2 623 403;2 853 928;1 199 378;398 136;524 804;110 971;22 590;2 195;0;0;161 110;22 025;16 332;26 851;12 854;4 717;7 240;6 570;3 971;1 319;645;111;0;0;0;0
Приморский край;113 038 120;42 801 090;104 380 191;38 473 037;316 175;70 419;69 390 724;65 754 306;9 752 409;4 625 536;4 162 747;3 938 876;1 462 636;693 513;1 483 363;1 039 498;0;0;2 679 056;2 899 341;1 317 211;650 771;396 901;122 113;33 004;9 689;698;1 292;4 373;473;15 435;21 163;10 384;3 547;6 840;5 586;3 226;905;27;2;3;18;3;1
Ставропольский край;72 791 286;54 966 343;66 714 040;48 652 405;166 237;104 280;33 192 728;60 884 715;6 693 092;6 522 308;1 991 555;3 626 525;919 450;790 830;754 359;1 054 766;0;0;1 237 195;2 571 764;807 964;726 483;269 893;116 917;5 432;8 642;0;0;23 893;77 782;9 227;27 765;7 394;5 709;3 968;7 327;2 401;1 384;46;36;0;0;211;146
Хабаровский край;85 924 884;18 644 676;81 167 347;16 631 091;481 426;232 676;35 907 619;42 203 796;6 909 857;1 995 129;2 154 462;2 526 394;995 521;289 186;752 666;679 357;0;0;1 404 391;1 847 481;826 013;267 667;397 860;49 462;29 537;3 727;0;6;7 889;6 761;8 883;13 248;8 104;2 283;3 969;3 071;2 412;611;40;14;0;1;175;23
Амурская область;40 377 175;16 561 118;37 467 062;14 993 426;183 221;23 974;17 791 253;21 625 482;3 320 243;1 762 806;1 067 471;1 289 992;498 040;263 211;352 426;331 082;0;0;715 043;958 899;435 335;246 023;159 244;35 784;27 483;3 596;0;0;7 535;1 218;3 364;7 577;3 520;1 804;1 424;1 851;1 015;465;21;9;0;0;0;0
