GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49
  Республика Адыгея;15 078 347;14 975 340;13 816 090;13 361 460;73 278;18 106;10 619 883;23 047 255;1 404 289;1 711 592;641 819;1 396 293;214 805;259 839;232 041;338 880;0;0;409 778;1 057 413;191 437;244 812;53 466;30 960;1 028;339;0;0;0;0;0;0;1 730;7 703;1 074;1 158;707;2 405;254;304;0;0;0;0;0;0;4;8;16;10
  Республика Башкортостан;177 892 306;85 286 823;168 311 776;78 172 208;662 751;453 717;63 761 032;116 804 768;12 741 795;7 380 584;3 854 386;6 837 019;1 926 682;1 091 246;1 311 191;2 010 913;0;0;2 543 723;4 811 125;1 595 539;955 205;840 948;296 462;24 516;12 758;1 333;995;619;2 401;150 302;24 365;14 513;52 015;13 605;9 150;6 652;13 996;3 485;2 634;326;80;3;8;5;6;29;27;121;56
  Республика Бурятия;45 651 479;21 425 413;42 588 000;19 188 937;152 297;114 239;26 045 380;51 981 950;3 744 734;2 424 632;1 000 435;1 475 500;510 982;285 550;321 546;503 449;0;0;680 246;973 745;440 028;250 809;176 592;71 126;5 885;1 044;539 898;1 577 426;27 631;50 360;6 240;0;6 937;12 085;4 131;1 970;2 459;3 719;1 465;603;44;2;558;2 717;166;168;8;13;28;14
  Республика Алтай;11 238 861;6 721 860;10 242 538;5 931 975;71 902;15 850;8 269 154;14 858 425;1 087 788;829 931;326 627;417 409;133 417;73 771;123 844;142 472;0;0;202 783;275 237;110 466;52 060;55 289;39 990;678;170;152 696;408 789;17 005;28 634;15 280;1 984;1 271;3 989;1 109;821;581;1 164;374;196;66;14;83;749;66;99;6;12;6;1
  Республика Дагестан;36 339 424;44 174 093;29 881 332;35 045 094;424 171;237 070;13 329 432;27 342 759;7 271 431;9 057 451;429 169;866 465;469 594;579 015;142 132;303 633;74;279;286 962;563 720;435 711;540 270;94 410;91 404;5 938;16 149;362 401;765 505;551 644;638 740;1 031;0;2 555;14 019;3 907;4 417;899;2 848;1 298;850;20;1;1 474;10 246;2 455;3 434;6;14;32;37
  Республика Ингушетия;5 674 700;1 999 642;5 200 627;1 846 119;6 005;4 928;1 137 837;1 544 784;515 610;154 483;69 085;93 504;77 579;23 159;16 962;19 256;0;0;52 123;74 248;71 603;21 020;10 314;3 766;794;739;0;819;3;31;76;0;553;584;847;299;313;213;378;101;1;0;0;5;3;6;3;1;6;1
  Кабардино-Балкарская Республика;26 249 884;20 698 022;23 941 247;18 392 110;47 070;193 424;4 404 693;8 524 991;2 682 285;2 215 948;262 399;510 586;334 342;265 776;78 810;135 542;0;0;183 589;375 045;298 545;238 009;81 392;53 940;2 492;20 358;1 332;2 123;63 357;58 276;937;867;1 243;4 501;2 423;2 317;531;1 201;716;503;4;6;0;0;1 435;1 636;0;4;12;7
  Республика Калмыкия;8 238 931;9 377 354;7 632 340;7 779 286;66 761;601;5 549 158;35 280 684;921 458;1 562 428;136 502;564 181;81 630;112 692;42 768;191 631;0;0;93 734;372 556;60 000;95 847;41 130;33 466;5 927;2;184 745;1 463 473;39 385;99 863;0;0;739;3 561;782;726;306;728;244;152;0;0;187;1 722;434;522;2;18;8;5
  Карачаево-Черкесская Республика;11 135 310;8 839 350;10 371 235;8 049 929;303 243;13 169;5 411 282;11 551 753;1 020 012;808 102;322 921;690 410;148 309;113 869;92 094;184 823;0;0;230 828;505 600;138 406;101 650;30 171;21 192;1 163;1 358;4 040;5 209;4 507;4 859;851;0;1 066;4 338;865;837;473;1 530;245;227;1;0;11;29;31;17;4;12;13;10
  Республика Карелия;70 416 526;11 945 843;63 624 764;10 543 676;357 209;52 889;24 192 808;26 863 712;7 411 047;1 632 424;1 295 723;1 487 859;892 333;194 843;420 130;459 367;0;0;875 499;1 028 601;752 534;170 423;342 646;43 883;6 089;3 390;174 706;116 673;149 586;39 236;7 088;619;4 757;9 849;5 112;1 346;2 426;2 306;1 487;364;38;16;220;573;3 467;900;14;11;44;6
