"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57"
"Республика Адыгея","21 137 547","20 477 829","19 090 461","18 243 998","17 946","110 449","17 350 217","49 181 190","2 200 152","2 454 088","1 040 558","2 947 349","329 984","368 084","394 090","778 554","352","564","645 830","2 171 684","303 330","348 580","76 645","50 975","630","1 436","700","0","X","X","0","0","1 795","9 726","1 018","1 267","783","3 203","266","397","0","0","X","X","1","0","0","0","0","0","0","0","0","0"
"Республика Башкортостан","223 000 601","110 631 220","206 716 950","98 757 257","970 723","366 266","106 729 828","259 492 690","19 125 093","12 305 130","6 236 416","15 436 343","2 805 936","1 837 870","2 250 436","4 494 538","0","0","3 985 956","10 941 743","2 461 246","1 722 837","909 436","251 540","70 741","9 797","163 075","100 935","55 394","3 084","X","X","15 793","66 517","13 663","10 196","7 762","18 846","3 875","3 526","X","X","105","91","73","13","0","0","0","0","0","0","0","0"
"Республика Бурятия","57 169 963","24 960 036","52 479 728","21 739 123","250 541","44 194","47 076 988","185 158 093","5 400 629","3 270 204","1 395 055","3 717 538","643 906","360 034","499 265","1 340 843","0","0","896 586","2 378 031","550 038","334 690","238 503","62 081","5 335","1 687","1 429 491","7 385 750","149 132","124 333","4 253","78","4 832","16 365","3 667","2 138","2 328","5 441","1 261","803","51","4","715","3 310","143","135","0","0","0","0","0","0","0","0"
"Республика Алтай","14 025 243","10 825 732","13 104 549","9 243 109","55 543","1 826","8 067 215","16 255 560","1 512 258","1 622 933","481 320","943 922","185 479","226 161","174 557","302 468","0","0","306 763","641 454","169 185","209 057","50 014","31 505","1 428","110","2 713","X","38 787","12 882","29 506","3 383","1 404","4 760","1 112","821","780","1 296","395","171","55","4","4","X","42","25","0","0","0","0","0","0","0","0"
"Республика Дагестан","26 758 820","25 495 588","21 978 480","20 365 494","152 331","28 131","56 890 336","332 755 910","5 101 415","5 247 583","580 065","3 528 518","259 948","274 666","195 550","2 076 467","68","2 268","384 403","1 449 766","224 654","233 410","113 578","94 262","4 427","300","2 833 109","16 427 273","466 284","482 408","10 167","183","4 935","34 864","2 548","2 405","1 837","7 288","947","613","41","2","3 049","26 597","1 478","1 700","X","X","X","X","28","18","0","0"
"Республика Ингушетия","2 593 871","2 699 719","2 416 377","2 319 997","0","152 969","9 791 478","19 933 625","206 010","230 887","202 825","412 412","29 015","34 060","44 080","188 891","0","54","158 744","223 468","26 470","31 534","6 218","4 161","0","22 486","384 664","783 079","487","346","338","0","1 437","2 123","428","172","729","567","239","63","7","0","692","1 462","122","85","0","0","0","0","0","0","0","0"
"Кабардино-Балкарская Республика","34 584 335","28 130 215","30 945 037","25 327 559","332 485","45 621","7 213 198","23 734 860","3 891 305","2 963 731","432 792","1 409 059","509 558","359 208","145 160","371 990","0","0","287 632","1 036 791","464 764","332 771","103 805","63 019","10 979","4 172","0","3 823","69 643","81 938","11 164","577","1 429","6 874","2 480","2 965","670","2 149","771","945","11","4","0","2","1 354","1 783","0","0","0","0","0","0","0","0"
"Республика Калмыкия","10 800 278","16 961 847","9 374 452","12 788 187","5 430","3 645","81 928 284","884 782 998","1 628 674","4 238 306","855 777","7 433 892","95 525","218 345","241 497","4 071 349","0","0","614 280","5 038 567","66 225","189 222","61 781","52 290","78","172","4 059 920","43 971 101","130 979","407 142","0","0","3 533","20 697","555","471","908","1 717","209","88","0","0","2 527","18 508","265","347","0","0","0","0","0","0","0","0"
"Карачаево-Черкесская Республика","14 356 893","14 087 975","13 341 088","12 907 785","6 611","8 236","9 044 408","36 066 694","1 393 421","1 594 375","509 088","1 589 231","193 624","221 611","141 477","474 202","0","540","367 610","1 114 488","185 071","216 175","29 625","13 260","138","708","33 577","566 677","14 896","16 282","8 097","800","1 258","6 693","877","1 190","654","2 292","297","400","23","3","32","527","42","69","0","0","0","0","0","0","0","0"
"Республика Карелия","82 891 044","16 354 863","77 098 874","14 240 842","224 975","100 740","26 419 654","40 628 270","7 848 282","2 383 998","1 503 959","2 391 539","958 371","291 118","574 358","807 395","0","0","929 584","1 584 050","789 936","273 208","434 704","43 703","6 189","1 189","81 162","34 810","187 567","63 767","10 665","596","4 525","11 241","4 740","1 448","2 441","3 127","1 407","398","19","5","91","144","3 238","964","0","0","0","0","0","0","0","0"
"Республика Коми","50 658 462","17 894 332","46 015 625","15 459 661","144 237","51 020","41 232 073","69 296 248","5 223 176","2 660 805","1 597 496","2 754 969","520 158","265 376","640 112","1 127 195","0","0","957 384","1 627 775","426 195","243 717","275 823","58 734","5 645","2 848","876 431","1 380 223","229 634","127 125","22 680","X","4 518","13 292","2 947","1 270","1 787","3 022","742","313","36","X","2 725","9 925","2 163","928","0","0","0","0","0","0","0","0"
"Республика Крым","79 592 989","51 055 933","70 954 337","42 898 954","161 226","158 419","90 500 761","303 975 947","9 463 089","8 302 805","3 599 721","12 238 593","953 158","836 978","1 376 188","4 674 104","0","0","2 223 533","7 564 489","787 504","769 975","367 200","142 546","8 356","727","1 830 315","5 999 314","413 316","387 681","0","0","13 115","57 744","3 880","2 732","6 601","16 260","1 315","847","0","0","6 381","40 224","2 363","1 788","X","X","X","X","0","28","0","0"
"Республика Марий-Эл","65 521 983","21 546 038","60 577 435","19 558 102","315 261","33 360","22 604 295","42 440 644","5 453 870","2 270 867","1 324 199","2 552 509","817 392","340 531","494 252","846 570","0","0","829 947","1 707 317","719 297","316 114","296 096","61 174","13 282","2 067","32 059","5 822","300","12","0","0","2 409","10 736","2 933","1 674","988","2 984","805","423","0","0","17","7","8","2","0","0","0","0","0","0","0","0"
"Республика Мордовия","33 762 630","18 871 468","31 302 514","16 503 187","133 174","101 577","30 110 789","256 017 024","2 998 500","2 354 205","1 196 535","4 948 392","414 631","293 115","440 299","1 822 983","0","0","756 236","3 125 370","355 563","269 555","149 502","47 871","4 649","2 316","610 112","10 406 034","34 546","52 836","803","0","2 754","14 947","1 944","1 408","1 217","3 178","598","330","8","0","214","3 669","17","35","X","X","X","X","0","28","0","0"
"Республика Саха (Якутия)","119 123 516","90 391 221","108 350 735","78 346 875","280 586","76 939","47 627 691","104 168 744","14 758 109","12 461 089","1 762 198","3 834 343","1 467 736","1 208 697","534 654","1 334 408","0","356","1 227 544","2 499 463","1 251 759","1 091 780","561 234","275 192","4 954","1 562","1 095 445","2 240 241","674 129","601 483","179 235","21 160","4 616","19 043","5 758","5 607","2 175","6 018","1 727","1 623","474","125","2 046","10 696","3 564","3 605","0","4","0","2","0","91","0","26"
"Республика Северная Осетия-Алания","30 495 055","22 329 720","27 832 499","20 047 946","50 295","34 643","12 494 953","25 897 560","3 108 791","2 300 502","754 168","1 544 500","464 802","342 393","261 836","436 452","0","119","492 332","1 107 902","450 862","333 529","44 348","20 111","6 483","322","731","8 782","1 217","2 682","517","117","2 023","8 637","1 769","1 564","990","3 490","621","531","4","4","5","22","3","4","X","X","X","X","0","28","0","0"
"Республика Татарстан","378 030 645","198 232 337","341 507 734","170 893 899","1 096 111","563 589","157 673 546","378 814 432","43 313 600","28 552 636","8 887 000","22 391 235","6 007 260","3 932 451","3 233 457","6 262 780","0","0","5 653 543","16 128 455","5 486 092","3 757 372","1 296 848","375 570","60 847","38 989","573 413","337 629","445 772","337 084","0","0","16 673","79 042","18 080","14 194","7 175","20 382","4 557","4 096","0","0","339","201","1 269","738","0","0","0","0","0","0","0","0"
"Республика Тыва","10 716 721","11 185 875","10 872 124","9 998 652","34 306","9 745","4 399 022","9 632 763","1 070 467","1 323 015","207 995","369 578","121 853","151 061","69 736","143 888","0","0","138 265","226 171","100 139","123 847","48 930","47 635","1 813","28","55 946","208 641","34 836","43 338","0","0","842","3 631","706","783","449","1 127","296","237","0","0","355","2 243","348","493","0","0","0","0","0","0","0","0"
"Удмуртская Республика","152 685 404","81 867 562","134 447 075","68 700 957","895 063","210 175","64 877 227","730 700 863","20 096 825","13 527 202","2 646 723","12 710 398","2 110 217","1 202 217","882 280","4 828 625","0","1 455","1 764 438","7 880 255","1 864 468","1 096 339","628 934","198 011","71 326","6 737","1 245 824","32 058 891","841 007","795 549","72 102","6 946","6 320","40 286","8 134","5 479","2 599","8 183","2 119","1 524","209","36","468","18 079","1 274","1 133","X","2","X","0","4","62","0","0"
"Республика Хакасия","33 629 599","33 865 146","29 109 474","28 140 009","41 915","64 487","15 120 918","45 436 292","4 926 061","5 844 068","566 721","1 779 602","381 939","448 755","185 629","625 514","0","0","381 092","1 154 088","324 772","400 976","137 112","88 858","690","880","340 534","942 713","334 035","408 761","3 807","0","1 899","8 775","2 101","1 981","842","2 575","620","558","13","0","973","5 497","1 286","1 287","0","0","0","0","0","0","0","0"
"Чеченская Республика","6 711 496","4 580 393","6 014 852","3 786 487","8 482","20 407","53 248 716","481 025 712","773 958","783 248","589 825","4 997 564","55 251","59 850","172 261","2 435 095","0","2 396","417 564","2 560 045","44 211","53 845","33 535","13 059","0","9","2 605 098","23 859 410","52 457","53 615","5 028","0","2 662","18 728","431","286","829","3 356","213","97","19","0","1 804","15 074","162","148","X","X","X","X","0","28","0","0"
"Чувашская Республика","114 943 860","46 603 277","106 107 863","41 646 385","471 418","158 845","35 422 482","100 794 385","9 603 994","5 142 663","2 119 631","6 023 609","1 376 708","747 050","782 945","1 862 246","0","0","1 336 685","4 161 278","1 186 978","696 543","480 269","111 399","27 214","1 344","5 718","18 936","59 314","23 567","4 306","X","4 454","24 874","5 241","3 428","1 891","6 724","1 305","802","9","X","7","46","230","113","0","0","0","0","0","0","0","0"
"Алтайский край","163 111 246","76 128 222","150 727 145","67 742 271","470 857","202 505","69 647 831","161 975 456","14 615 129","8 884 004","4 178 811","9 704 020","2 191 303","1 332 348","1 489 079","2 976 497","0","0","2 689 731","6 727 717","1 979 264","1 253 551","553 718","159 770","48 201","4 430","0","0","0","0","2 132","0","9 013","36 764","9 070","5 529","3 836","8 678","2 226","1 355","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Краснодарский край","413 816 111","294 187 506","382 248 374","259 885 397","1 223 514","747 507","262 507 544","965 667 244","38 456 602","35 665 229","15 407 477","54 053 029","5 719 196","5 334 281","5 691 621","15 547 270","0","384","9 715 577","42 336 260","5 182 122","5 089 502","1 494 644","566 647","55 743","47 024","342 688","213 118","36 986","12 310","X","X","29 245","192 840","18 280","17 375","12 578","57 720","4 446","4 939","X","X","165","385","99","48","0","2","0","0","0","64","0","0"
"Красноярский край","226 832 530","116 334 867","209 429 531","104 893 049","826 115","165 714","127 401 129","246 228 986","19 759 150","12 065 170","7 609 611","14 275 750","2 957 109","1 740 019","2 627 013","4 168 973","0","0","4 982 524","10 106 776","2 627 214","1 596 145","868 908","318 495","40 774","8 606","35 226","71 512","5 610","2 843","416 614","68 705","15 439","50 307","12 276","8 199","6 806","13 632","3 266","2 530","759","52","48","55","28","3","0","0","0","0","0","0","0","0"
"Приморский край","211 700 258","91 738 432","192 924 989","80 385 528","546 679","61 682","134 796 845","233 962 593","21 197 862","11 798 000","7 873 585","13 750 654","3 131 753","1 759 946","2 710 725","3 665 988","0","0","5 162 545","10 090 962","2 871 397","1 687 698","681 803","163 443","26 552","1 773","209 916","226 481","45 399","5 001","58 817","4 672","14 555","39 671","10 486","5 763","6 302","11 487","2 785","2 173","54","2","146","349","32","9","0","0","0","0","0","0","0","0"
