field name,english description,russian description,format
"GA","The subjects of the Russian Federation","Субъекты Российской Федерации","text"
"GB","The amount of income received by taxpayers who selected income as an object of taxation, reduced by expenses for organizations (thousand rubles)","Сумма полученных доходов налогоплательщиками, выбравшими в качестве объекта налогообложения доходы,  уменьшенные на  величину  расходов по организациям (тыс. руб.)","integer"
"G1","The amount of income received by taxpayers who selected income as an object of taxation, reduced by expenses for individual entrepreneurs (thousand rubles)","Сумма полученных доходов налогоплательщиками, выбравшими в качестве объекта налогообложения доходы,  уменьшенные на  величину  расходов   по индивидуальным предпринимателям  (тыс. руб.)","integer"
"G2","The amount of expenses incurred by taxpayers who selected income as an object of taxation, reduced by expenses for organizations (thousand rubles)","Сумма расходов, понесенных  налогоплательщиками, выбравшими в качестве объекта налогообложения  доходы,  уменьшенные на  величину  расходов   по организациям  (тыс. руб.)","integer"
"G3","The amount of expenses incurred by taxpayers who selected income as an object of taxation, reduced by expenses for individual entrepreneurs (thousand rubles)","Сумма расходов, понесенных  налогоплательщиками, выбравшими в качестве объекта налогообложения  доходы,  уменьшенные на  величину  расходов  по индивидуальным предпринимателям (тыс. руб.)","integer"
"G4","The amount of loss received in the previous (previous) tax (tax) period (periods), which reduces the tax base for organizations (thousand rubles)","Сумма убытка, полученного в предыдущем (предыдущих) налоговом (налоговых) периоде (периодах), уменьшающая налоговую базу по организациям (тыс. руб.)","integer"
"G5","The amount of loss received in the previous (previous) tax (tax) period (periods), which reduces the tax base for individual entrepreneurs (thousand rubles)","Сумма убытка, полученного в предыдущем (предыдущих) налоговом (налоговых) периоде (периодах), уменьшающая налоговую базу   по индивидуальным предпринимателям (тыс. руб.)","integer"
"G6","Tax base (object of taxation ""income"") for organizations (thousand rubles)","Налоговая база (объект налогообложения ""доходы"")  по организациям (тыс. руб.)","integer"
"G7","Tax base (object of taxation ""income"") for individual entrepreneurs (thousand rubles)","Налоговая база (объект  налогообложения ""доходы"")  по индивидуальным предпринимателям (тыс. руб.)","integer"
"G8","Tax base (object of taxation ""income reduced by expenses"") for organizations (thousand rubles)","Налоговая база (объект налогообложения ""доходы, уменьшенные на величину расходов"") по организациям (тыс. руб.)","integer"
"G9","Tax base (object of taxation ""Revenues reduced by expenses"") by individual entrepreneurs (thousand rubles)","Налоговая база (объект  налогообложения ""доходы, уменьшенные на величину расходов"")  по индивидуальным предпринимателям (тыс. руб.)","integer"
"G10","The amount of tax calculated for the tax period (taxation object ""income"") for organizations (thousand rubles)","Сумма исчисленного за налоговый период налога (объект налогообложения ""доходы"")  по организациям (тыс. руб.)","integer"
"G11","The amount of tax calculated for the tax period (object of taxation ""income)"" for individual entrepreneurs (thousand rubles)","Сумма исчисленного за налоговый период налога  (объект налогообложения ""доходы)"" по индивидуальным предпринимателям (тыс. руб.)","integer"
"G12","The amount of tax calculated for the tax period (taxation object ""income reduced by expenses"") for organizations (thousand rubles)","Сумма исчисленного за налоговый период налога ( объект налогообложения ""доходы, уменьшенные на величину расходов"") по организациям (тыс. руб.)","integer"
"G13","The amount of tax calculated for the tax period (taxation object ""income reduced by expenses"") by individual entrepreneurs (thousand rubles)","Сумма исчисленного за налоговый период налога (объект налогообложения ""доходы, уменьшенные на величину расходов"") по индивидуальным предпринимателям (тыс. руб.)","integer"
"G14","The amount of insurance premiums paid to employees of temporary disability and payments (contributions) under voluntary personal insurance contracts provided for in paragraph 3.1 of Article 346.21 of the Code, which reduces the amount of the calculated tax (thousand rubles)","Сумма страховых взносов, выплаченных работникам пособий по временной нетрудоспособности и платежей (взносов) по договорам добровольного личного страхования, предусмотренных пунктом 3.1 статьи 346.21 Кодекса, уменьшающая сумму исчисленного налога,  по оргагнизациям  (тыс. руб.)","integer"
"G15","The amount of insurance premiums paid to employees of temporary disability benefits and payments (contributions) under voluntary personal insurance contracts provided for in paragraph 3.1 of Article 346.21 of the Code, which reduces the amount of the calculated tax on individual entrepreneurs (thousand rubles)","Сумма страховых взносов, выплаченных работникам пособий по временной нетрудоспособности и платежей (взносов) по договорам добровольного личного страхования, предусмотренных пунктом 3.1 статьи 346.21 Кодекса, уменьшающая сумму исчисленного налога,  по индивидуальным предпринимателям (тыс. руб.)","integer"
